update,points,mean_tasks,total_tasks,total_orgs,task_0,task_1,task_2,task_3,task_4,task_5,task_6,task_7,task_8,task_9
0,0,nan,0,10,0,0,0,0,0,0,0,0,0,0
1,10,0,0,10,5,0,0,0,0,0,0,0,0,0
2,12,0,0,10,6,0,0,0,0,0,0,0,0,0
3,56,1.28571,9,11,6,0,0,0,0,0,0,0,0,1
4,40,1.28571,9,11,6,0,0,0,0,0,0,0,0,1
5,26,1.125,9,12,7,0,0,0,0,0,0,0,0,1
6,72,1.125,9,13,7,0,0,0,0,0,0,0,0,1
7,76,1.125,9,13,7,0,0,0,0,0,0,0,0,1
8,58,1,9,14,8,0,0,0,0,0,0,0,0,1
9,44,0.9,9,15,9,0,0,0,0,0,0,0,0,1
10,174,2.76923,36,18,9,0,0,0,0,0,0,0,0,4
11,176,3,36,20,8,0,0,0,0,0,0,0,0,4
12,210,3.21429,45,23,9,0,0,0,0,0,0,0,0,5
13,322,3.6,54,26,9,0,0,0,0,0,0,0,0,6
14,292,3.375,54,29,10,0,0,0,0,0,0,0,0,6
15,292,3.375,54,30,10,0,0,0,0,0,0,0,0,6
16,434,3.5,63,31,11,0,0,0,0,0,0,0,0,7
17,288,3.78947,72,33,11,0,0,0,0,0,0,0,0,8
18,354,3.78947,72,37,11,0,0,0,0,0,0,0,0,8
19,292,3.70588,63,39,10,0,0,0,0,0,0,0,0,7
20,436,3.27273,72,42,14,0,0,0,0,0,0,0,0,8
21,368,3,63,45,14,0,0,0,0,0,0,0,0,7
22,446,3,72,47,16,0,0,0,0,0,0,0,0,8
23,584,3.46154,90,50,16,0,0,0,0,0,0,0,0,10
24,746,3.81818,126,54,19,0,0,0,0,0,0,0,0,14
25,724,3.19355,99,54,20,0,0,0,0,0,0,0,0,11
26,762,3.21429,90,56,18,0,0,0,0,0,0,0,0,10
27,798,3.9,117,56,17,0,0,0,0,0,0,0,0,13
28,948,4.06452,126,62,17,0,0,0,0,0,0,0,0,14
29,836,3.65625,117,64,19,0,0,0,0,0,0,0,0,13
30,922,3.19355,99,66,20,0,0,0,0,0,0,0,0,11
31,956,3,90,68,20,0,0,0,0,0,0,0,0,10
32,1086,3.64865,135,73,22,0,0,0,0,0,0,0,0,15
33,1212,3.69231,144,79,23,0,0,0,0,0,0,0,0,16
34,1122,2.36842,90,81,28,0,0,0,0,0,0,0,0,10
35,1158,3.11628,134,84,28,0,0,0,0,0,0,0,1,14
36,1096,3.04545,134,86,29,0,0,0,0,0,0,0,1,14
37,1486,4.2,189,88,24,0,0,0,0,0,0,0,0,21
38,1500,3.71739,171,90,27,0,0,0,0,0,0,0,0,19
39,1400,3.6383,171,90,28,0,0,0,0,0,0,0,0,19
40,860,3.44681,162,92,29,0,0,0,0,0,0,0,0,18
41,1448,4.01786,225,95,31,0,0,0,0,0,0,0,0,25
42,1084,4.05882,207,96,28,0,0,0,0,0,0,0,0,23
43,1234,3.85714,216,97,32,0,0,0,0,0,0,0,0,24
44,1284,3.0566,162,97,35,0,0,0,0,0,0,0,0,18
45,1028,2.71698,144,97,37,0,0,0,0,0,0,0,0,16
46,1438,3.5,189,97,33,0,0,0,0,0,0,0,0,21
47,1552,3.5625,171,97,29,0,0,0,0,0,0,0,0,19
48,1230,1.62,81,97,41,0,0,0,0,0,0,0,0,9
49,1372,2.44068,144,99,43,0,0,0,0,0,0,0,0,16
50,1758,3.9,234,100,34,0,0,0,0,0,0,0,0,26
51,1636,2.03226,126,100,48,0,0,0,0,0,0,0,0,14
52,1448,2.41071,135,100,41,0,0,0,0,0,0,0,0,15
53,1290,2.4,144,100,44,0,0,0,0,0,0,0,0,16
54,1568,3.45,207,100,37,0,0,0,0,0,0,0,0,23
55,1540,3.47368,198,100,35,0,0,0,0,0,0,0,0,22
56,1508,3.27273,180,100,35,0,0,0,0,0,0,0,0,20
57,1364,3.46154,180,100,32,0,0,0,0,0,0,0,0,20
58,1336,3.65517,212,100,34,0,0,0,0,1,0,0,0,23
59,1210,3.23333,194,100,38,0,0,0,0,1,0,0,0,21
60,1268,2.88525,176,100,41,0,0,0,0,1,0,0,0,19
61,1486,3.05357,171,100,37,0,0,0,0,0,0,0,0,19
62,1694,3.43636,189,100,34,0,0,0,0,0,0,0,0,21
63,1740,3.47368,198,100,35,0,0,0,0,0,0,0,0,22
64,1838,3.83333,207,100,31,0,0,0,0,0,0,0,0,23
65,1878,3.90566,207,100,30,0,0,0,0,0,0,0,0,23
66,1828,4.32692,225,100,27,0,0,0,0,0,0,0,0,25
67,1586,3.90566,207,100,30,0,0,0,0,0,0,0,0,23
68,1662,3.73585,198,100,31,0,0,0,0,0,0,0,0,22
69,1798,4.41176,225,100,26,0,0,0,0,0,0,0,0,25
70,1644,4.22449,207,100,26,0,0,0,0,0,0,0,0,23
71,1830,4.125,198,100,26,0,0,0,0,0,0,0,0,22
72,1774,4.32,216,100,26,0,0,0,0,0,0,0,0,24
73,1702,3.63462,189,100,31,0,0,0,0,0,0,0,0,21
74,1332,4.07547,216,100,29,0,0,0,0,0,0,0,0,24
75,1668,4.66667,252,100,26,0,0,0,0,0,0,0,0,28
76,1766,4.15385,216,100,28,0,0,0,0,0,0,0,0,24
77,1922,5.11765,261,100,22,0,0,0,0,0,0,0,0,29
78,1770,4.75472,252,100,25,0,0,0,0,0,0,0,0,28
79,2174,4.41176,225,100,26,0,0,0,0,0,0,0,0,25
80,2212,3.39623,180,100,33,0,0,0,0,0,0,0,0,20
81,1618,3.98077,207,100,29,0,0,0,0,0,0,0,0,23
82,1666,3.80769,198,100,30,0,0,0,0,0,0,0,0,22
83,1390,4.41509,234,100,27,0,0,0,0,0,0,0,0,26
84,1584,4.32692,225,100,27,0,0,0,0,0,0,0,0,25
85,1706,4.25,221,100,27,0,0,0,0,1,0,0,0,24
86,1580,4.22449,207,100,26,0,0,0,0,0,0,0,0,23
87,1672,4.01786,225,100,31,0,0,0,0,0,0,0,0,25
88,1882,3.11538,162,100,34,0,0,0,0,0,0,0,0,18
89,1348,2.66667,144,100,38,0,0,0,0,0,0,0,0,16
90,1532,2.85714,180,100,43,0,0,0,0,0,0,0,0,20
91,1584,2.84211,162,100,39,0,0,0,0,0,0,0,0,18
92,1570,3.15789,180,100,37,0,0,0,0,0,0,0,0,20
93,1856,3.85714,216,100,32,0,0,0,0,0,0,0,0,24
94,1898,3.41379,198,100,36,0,0,0,0,0,0,0,0,22
95,2012,2.94828,171,100,39,0,0,0,0,0,0,0,0,19
96,1822,3.22642,171,100,34,0,0,0,0,0,0,0,0,19
97,1638,3.92727,216,100,31,0,0,0,0,0,0,0,0,24
98,1274,2.59322,153,100,42,0,0,0,0,0,0,0,0,17
99,1466,3.22642,171,100,34,0,0,0,0,0,0,0,0,19
100,1536,3.25862,189,100,37,0,0,0,0,0,0,0,0,21
101,1606,2.83333,153,100,37,0,0,0,0,0,0,0,0,17
102,1870,2.84211,162,100,39,0,0,0,0,0,0,0,0,18
103,1974,2.7,162,100,42,0,0,0,0,0,0,0,0,18
104,2176,3.53571,198,100,34,0,0,0,0,0,0,0,0,22
105,1336,3.22642,171,100,34,0,0,0,0,0,0,0,0,19
106,1568,3.11538,162,100,34,0,0,0,0,0,0,0,0,18
107,1838,3.24,162,100,32,0,0,0,0,0,0,0,0,18
108,1840,4.1087,189,100,25,0,0,0,0,0,0,0,0,21
109,1904,3.06,153,100,33,0,0,0,0,0,0,0,0,17
110,1816,3.5,189,100,33,0,0,0,0,0,0,0,0,21
111,1516,2.89831,171,100,40,0,0,0,0,0,0,0,0,19
112,2002,3.63158,207,100,34,0,0,0,0,0,0,0,0,23
113,1806,3.47368,198,100,35,0,0,0,0,0,0,0,0,22
114,1566,2.36842,135,100,42,0,0,0,0,0,0,0,0,15
115,1698,2.08929,117,100,43,0,0,0,0,0,0,0,0,13
116,1468,2.83333,153,100,37,0,0,0,0,0,0,0,0,17
117,1544,3.56604,189,100,32,0,0,0,0,0,0,0,0,21
118,1846,3.41379,198,100,36,0,0,0,0,0,0,0,0,22
119,1854,3.51562,225,100,39,0,0,0,0,0,0,0,0,25
120,1928,3.72414,216,100,34,0,0,0,0,0,0,0,0,24
121,1968,3.45,207,100,37,0,0,0,0,0,0,0,0,23
122,2056,3.35593,198,100,37,0,0,0,0,0,0,0,0,22
123,1812,2.55,153,100,43,0,0,0,0,0,0,0,0,17
124,2104,2.79688,179,100,44,0,0,0,0,0,0,0,1,19
125,2156,3.39655,197,100,36,0,0,0,0,0,0,0,1,21
126,2320,3.12069,181,100,37,0,0,0,0,2,0,0,0,19
127,2030,2.65079,167,100,44,0,0,0,0,1,0,0,0,18
128,1886,2.80303,185,100,45,0,0,0,0,1,0,0,0,20
129,1994,2.85714,180,100,43,0,0,0,0,0,0,0,0,20
130,2044,2.38235,162,100,50,0,0,0,0,0,0,0,0,18
131,1370,2.07692,135,100,50,0,0,0,0,0,0,0,0,15
132,1508,2.28571,144,100,47,0,0,0,0,0,0,0,0,16
133,1358,2.55,153,100,43,0,0,0,0,0,0,0,0,17
134,1312,2.25,144,100,48,0,0,0,0,0,0,0,0,16
135,1398,2.95312,189,100,43,0,0,0,0,0,0,0,0,21
136,1746,2.89831,171,100,40,0,0,0,0,0,0,0,0,19
137,1762,2.32258,144,100,46,0,0,0,0,0,0,0,0,16
138,1642,1.83051,108,100,47,0,0,0,0,0,0,0,0,12
139,1630,1.8871,117,100,49,0,0,0,0,0,0,0,0,13
140,1402,2.44068,144,100,43,0,0,0,0,0,0,0,0,16
141,1340,1.98305,117,100,46,0,0,0,0,0,0,0,0,13
142,994,1.55172,90,100,48,0,0,0,0,0,0,0,0,10
143,1344,2.1,126,100,46,0,0,0,0,0,0,0,0,14
144,1654,2.45455,162,100,48,0,0,0,0,0,0,0,0,18
145,1680,2.63793,153,100,41,0,0,0,0,0,0,0,0,17
146,1572,2,108,100,42,0,0,0,0,0,0,0,0,12
147,1490,2.08929,117,100,43,0,0,0,0,0,0,0,0,13
148,1784,2.5082,153,100,44,0,0,0,0,0,0,0,0,17
149,1984,2.65574,162,100,43,0,0,0,0,0,0,0,0,18
150,1872,2.61818,144,100,39,0,0,0,0,0,0,0,0,16
151,1550,3.10909,171,100,36,0,0,0,0,0,0,0,0,19
152,1988,3.35593,198,100,37,0,0,0,0,0,0,0,0,22
153,1502,3.35593,198,100,37,0,0,0,0,0,0,0,0,22
154,1420,2.68421,153,100,40,0,0,0,0,0,0,0,0,17
155,1486,3.41379,198,100,36,0,0,0,0,0,0,0,0,22
156,1596,3.63158,207,100,34,0,0,0,0,0,0,0,0,23
157,1306,2.63793,153,100,41,0,0,0,0,0,0,0,0,17
158,1670,2.85714,180,100,43,0,0,0,0,0,0,0,0,20
159,1424,2.44068,144,100,43,0,0,0,0,0,0,0,0,16
160,1570,2.07692,135,100,50,0,0,0,0,0,0,0,0,15
161,1958,3,189,100,42,0,0,0,0,0,0,0,0,21
162,1680,2.33333,126,100,40,0,0,0,0,0,0,0,0,14
163,1122,2.28571,144,100,47,0,0,0,0,0,0,0,0,16
164,1144,2.17742,135,100,47,0,0,0,0,0,0,0,0,15
165,1436,2.18182,144,100,50,0,0,0,0,0,0,0,0,16
166,1164,2.35385,153,100,48,0,0,0,0,0,0,0,0,17
167,1040,2.28571,144,100,47,0,0,0,0,0,0,0,0,16
168,1112,2.14286,135,100,48,0,0,0,0,0,0,0,0,15
169,1140,2.31818,153,100,49,0,0,0,0,0,0,0,0,17
170,1310,2.39062,153,100,47,0,0,0,0,0,0,0,0,17
171,1288,2.25,135,100,45,0,0,0,0,0,0,0,0,15
172,1218,2.06557,126,100,47,0,0,0,0,0,0,0,0,14
173,1438,2.1,126,100,46,0,0,0,0,0,0,0,0,14
174,1124,2.83333,153,100,37,0,0,0,0,0,0,0,0,17
175,1168,3.10909,171,100,36,0,0,0,0,0,0,0,0,19
176,1156,2.74576,162,100,41,0,0,0,0,0,0,0,0,18
177,1352,2.73214,153,100,39,0,0,0,0,0,0,0,0,17
178,1102,2.94545,162,100,37,0,0,0,0,0,0,0,0,18
179,1420,3.69643,207,100,33,0,0,0,0,0,0,0,0,23
180,1404,3,171,100,38,0,0,0,0,0,0,0,0,19
181,1302,2.7931,162,100,40,0,0,0,0,0,0,0,0,18
182,1548,2.74576,162,100,41,0,0,0,0,0,0,0,0,18
183,1858,2.65574,162,100,43,0,0,0,0,0,0,0,0,18
184,1814,2.13559,126,100,45,0,0,0,0,0,0,0,0,14
185,1748,2.84211,162,100,39,0,0,0,0,0,0,0,0,18
186,1828,3.24561,185,100,36,0,0,0,0,1,0,0,0,20
187,1532,2.88679,153,100,36,0,0,0,0,0,0,0,0,17
188,1518,2.78182,153,100,38,0,0,0,0,0,0,0,0,17
189,1828,3,171,100,38,0,0,0,0,0,0,0,0,19
190,1338,2.29091,126,100,41,0,0,0,0,0,0,0,0,14
191,1670,3.10345,180,100,38,0,0,0,0,0,0,0,0,20
192,1730,2.41071,135,100,41,0,0,0,0,0,0,0,0,15
193,1838,2.45455,135,100,40,0,0,0,0,0,0,0,0,15
194,2116,2.61818,144,100,39,0,0,0,0,0,0,0,0,16
195,2010,2.83333,153,100,37,0,0,0,0,0,0,0,0,17
196,1718,3.20339,189,100,38,0,0,0,0,0,0,0,0,21
197,1838,3.46154,180,100,32,0,0,0,0,0,0,0,0,20
198,1752,3.92727,216,100,31,0,0,0,0,0,0,0,0,24
199,2002,3.10909,171,100,36,0,0,0,0,0,0,0,0,19
200,1706,3.21429,180,100,36,0,0,0,0,0,0,0,0,20
201,1902,3.22642,171,100,34,0,0,0,0,0,0,0,0,19
202,1558,3,171,100,38,0,0,0,0,0,0,0,0,19
203,1764,3,153,100,34,0,0,0,0,0,0,0,0,17
204,1348,2.66667,144,100,38,0,0,0,0,0,0,0,0,16
205,1320,2.21311,135,100,46,0,0,0,0,0,0,0,0,15
206,1126,2.41071,135,100,41,0,0,0,0,0,0,0,0,15
207,1564,3.10345,180,100,38,0,0,0,0,0,0,0,0,20
208,2002,2.78182,153,100,38,0,0,0,0,0,0,0,0,17
209,1752,2.57143,144,100,40,0,0,0,0,0,0,0,0,16
210,2332,2.89831,171,100,40,0,0,0,0,0,0,0,0,19
211,2364,2.63793,153,100,41,0,0,0,0,0,0,0,0,17
212,2104,3.25862,189,100,37,0,0,0,0,0,0,0,0,21
213,2156,3.08197,188,100,40,0,0,0,0,0,0,0,1,20
214,2228,2.53125,162,100,46,0,0,0,0,0,0,0,0,18
215,2364,2.59091,171,100,47,0,0,0,0,0,0,0,0,19
216,2480,2.72727,180,100,46,0,0,0,0,0,0,0,0,20
217,2530,2.8125,180,100,44,0,0,0,0,0,0,0,0,20
218,2088,2.72727,180,100,46,0,0,0,0,0,0,0,0,20
219,2628,3.09836,189,100,40,0,0,0,0,0,0,0,0,21
220,3186,3.56897,207,100,35,0,0,0,0,0,0,0,0,23
221,2562,3.52727,194,100,33,0,0,0,0,1,0,0,0,21
222,1930,3.83019,203,100,30,0,0,0,0,1,0,0,0,22
223,2198,3.375,189,100,35,0,0,0,0,0,0,0,0,21
224,2620,3.2459,198,100,39,0,0,0,0,0,0,0,0,22
225,2750,3,189,100,42,0,0,0,0,0,0,0,0,21
226,2888,3.19355,198,100,40,0,0,0,0,0,0,0,0,22
227,2548,3.16667,171,100,35,0,0,0,0,0,0,0,0,19
228,1748,2.59322,153,100,42,0,0,0,0,0,0,0,0,17
229,1906,3.04839,189,100,41,0,0,0,0,0,0,0,0,21
230,1494,2.90769,189,100,44,0,0,0,0,0,0,0,0,21
231,1290,2.13559,126,100,45,0,0,0,0,0,0,0,0,14
232,1504,2.25,144,100,48,0,0,0,0,0,0,0,0,16
233,1926,2.57143,162,100,45,0,0,0,0,0,0,0,0,18
234,2148,2.85714,180,100,43,0,0,0,0,0,0,0,0,20
235,2568,2.53125,162,100,46,0,0,0,0,0,0,0,0,18
236,2718,2.25,135,100,45,0,0,0,0,0,0,0,0,15
237,2868,2.21053,126,100,43,0,0,0,0,0,0,0,0,14
238,3392,3.375,189,100,35,0,0,0,0,0,0,0,0,21
239,2926,2.7931,162,100,40,0,0,0,0,0,0,0,0,18
240,3104,2.88679,153,100,36,0,0,0,0,0,0,0,0,17
241,3222,3.63158,207,100,34,0,0,0,0,0,0,0,0,23
242,3724,3.69643,207,100,33,0,0,0,0,0,0,0,0,23
243,3274,3.78947,216,100,33,0,0,0,0,0,0,0,0,24
244,4016,3.45,207,100,37,0,0,0,0,0,0,0,0,23
245,4068,4.01786,225,100,31,0,0,0,0,0,0,0,0,25
246,2556,3.0566,162,100,35,0,0,0,0,0,0,0,0,18
247,1988,4.01786,225,100,31,0,0,0,0,0,0,0,0,25
248,2388,4.57895,261,100,28,0,0,0,0,0,0,0,0,29
249,2618,4.18182,230,100,29,0,0,0,0,1,0,0,0,25
250,2942,3.94643,221,100,31,0,0,0,0,1,0,0,0,24
251,3386,3.93651,248,100,35,0,0,0,0,1,0,0,0,27
252,2408,4.10714,230,100,30,0,0,0,0,1,0,0,0,25
253,2086,3.30357,185,100,35,0,0,0,0,1,0,0,0,20
254,1842,3.625,203,100,33,0,0,0,0,1,0,0,0,22
255,1430,4.17857,234,100,30,0,0,0,0,0,0,0,0,26
256,1742,3.54098,216,100,37,0,0,0,0,0,0,0,0,24
257,1654,3.66102,216,100,35,0,0,0,0,0,0,0,0,24
258,1412,3.35294,171,100,32,0,0,0,0,0,0,0,0,19
259,1444,4.25455,234,100,29,0,0,0,0,0,0,0,0,26
260,1378,4.32692,225,100,27,0,0,0,0,0,0,0,0,25
261,1200,3.69643,207,100,33,0,0,0,0,0,0,0,0,23
262,1476,4.35,261,100,31,0,0,0,0,0,0,0,0,29
263,1396,3.9661,234,100,33,0,0,0,0,0,0,0,0,26
264,1194,3.9661,234,100,33,0,0,0,0,0,0,0,0,26
265,1428,4.57143,288,100,31,0,0,0,0,0,0,0,0,32
266,1290,4.21875,270,100,34,0,0,0,0,0,0,0,0,30
267,1664,4.85714,306,100,29,0,0,0,0,0,0,0,0,34
268,1526,3.42857,216,100,39,0,0,0,0,0,0,0,0,24
