update,points,mean_tasks,total_tasks,total_orgs,task_0,task_1,task_2,task_3,task_4,task_5,task_6,task_7,task_8,task_9
0,0,nan,0,10,0,0,0,0,0,0,0,0,0,0
1,2,0,0,10,1,0,0,0,0,0,0,0,0,0
2,4,0,0,10,2,0,0,0,0,0,0,0,0,0
3,4,0,0,10,2,0,0,0,0,0,0,0,0,0
4,10,0,0,10,3,0,0,0,0,0,0,0,0,0
5,12,0,0,10,3,0,0,0,0,0,0,0,0,0
6,14,0,0,10,3,0,0,0,0,0,0,0,0,0
7,14,0,0,10,3,0,0,0,0,0,0,0,0,0
8,14,0,0,10,3,0,0,0,0,0,0,0,0,0
9,62,2.25,9,11,3,0,0,0,0,0,0,0,0,1
10,44,1.8,9,12,4,0,0,0,0,0,0,0,0,1
11,20,1.5,9,12,5,0,0,0,0,0,0,0,0,1
12,20,1.5,9,12,5,0,0,0,0,0,0,0,0,1
13,22,0,0,12,6,0,0,0,0,0,0,0,0,0
14,26,0,0,12,6,0,0,0,0,0,0,0,0,0
15,28,0,0,12,6,0,0,0,0,0,0,0,0,0
16,30,0,0,12,6,0,0,0,0,0,0,0,0,0
17,74,1.8,9,12,4,0,0,0,0,0,0,0,0,1
18,118,1.8,9,12,4,0,0,0,0,0,0,0,0,1
19,102,1.5,9,13,5,0,0,0,0,0,0,0,0,1
20,34,1.28571,9,13,6,0,0,0,0,0,0,0,0,1
21,36,0,0,13,7,0,0,0,0,0,0,0,0,0
22,38,0,0,13,7,0,0,0,0,0,0,0,0,0
23,38,0,0,13,7,0,0,0,0,0,0,0,0,0
24,44,0,0,13,7,0,0,0,0,0,0,0,0,0
25,88,1.28571,9,14,6,0,0,0,0,0,0,0,0,1
26,132,1.28571,9,14,6,0,0,0,0,0,0,0,0,1
27,160,1.28571,9,15,6,0,0,0,0,0,0,0,0,1
28,142,1.125,9,16,7,0,0,0,0,0,0,0,0,1
29,28,1,9,16,8,0,0,0,0,0,0,0,0,1
30,34,0,0,16,9,0,0,0,0,0,0,0,0,0
31,36,0,0,16,9,0,0,0,0,0,0,0,0,0
32,82,1,9,17,8,0,0,0,0,0,0,0,0,1
33,170,2,18,18,7,0,0,0,0,0,0,0,0,2
34,262,1.8,18,18,8,0,0,0,0,0,0,0,0,2
35,292,1.63636,18,19,9,0,0,0,0,0,0,0,0,2
36,162,1.5,18,19,10,0,0,0,0,0,0,0,0,2
37,54,1.38462,18,19,11,0,0,0,0,0,0,0,0,2
38,58,0.692308,9,19,12,0,0,0,0,0,0,0,0,1
39,104,1.38462,18,20,11,0,0,0,0,0,0,0,0,2
