update,points,mean_tasks,total_tasks,total_orgs,task_0,task_1,task_2,task_3,task_4,task_5,task_6,task_7,task_8,task_9
0,0,nan,0,10,0,0,0,0,0,0,0,0,0,0
1,6,0,0,10,3,0,0,0,0,0,0,0,0,0
2,60,1.125,9,11,7,0,0,0,0,0,0,0,0,1
3,44,1.125,9,12,7,0,0,0,0,0,0,0,0,1
4,68,2.7,27,14,7,0,0,0,0,0,0,0,0,3
5,80,2.45455,27,15,8,0,0,0,0,0,0,0,0,3
6,102,3,36,16,8,0,0,0,0,0,0,0,0,4
7,104,3.75,45,17,7,0,0,0,0,0,0,0,0,5
8,138,2.4,36,20,11,0,0,0,0,0,0,0,0,4
9,210,3.375,54,22,10,0,0,0,0,0,0,0,0,6
10,298,3.125,50,24,10,0,0,0,0,1,0,0,0,5
11,278,3.27778,59,27,11,0,0,0,0,1,0,0,0,6
12,448,3.2381,68,31,13,0,0,0,0,1,0,0,0,7
13,438,2.57143,54,33,15,0,0,0,0,0,0,0,0,6
14,600,3.75,90,38,14,0,0,0,0,0,0,0,0,10
15,722,4.32,108,45,13,0,0,0,0,0,0,0,0,12
16,936,4.5,117,47,13,0,0,0,0,0,0,0,0,13
17,750,4.63636,153,51,16,0,0,0,0,0,0,0,0,17
18,732,5.4,189,54,14,0,0,0,0,0,0,0,0,21
19,944,5.35135,198,60,15,0,0,0,0,0,0,0,0,22
20,774,4.725,189,63,19,0,0,0,0,0,0,0,0,21
21,922,6.08108,225,65,12,0,0,0,0,0,0,0,0,25
22,1030,5.14286,216,71,18,0,0,0,0,0,0,0,0,24
23,1130,5.92683,243,74,14,0,0,0,0,0,0,0,0,27
24,1184,5.31818,234,80,18,0,0,0,0,0,0,0,0,26
25,1412,5.8125,279,84,17,0,0,0,0,0,0,0,0,31
26,1592,5.58,279,89,19,0,0,0,0,0,0,0,0,31
27,1358,4.68,234,92,24,0,0,0,0,0,0,0,0,26
28,1574,5.07273,279,93,24,0,0,0,0,0,0,0,0,31
29,1396,5.53846,288,98,20,0,0,0,0,0,0,0,0,32
30,1742,5.43396,288,99,21,0,0,0,0,0,0,0,0,32
31,1556,5.71154,297,99,19,0,0,0,0,0,0,0,0,33
32,1586,6.2449,306,99,15,0,0,0,0,0,0,0,0,34
33,1720,5.36538,279,99,21,0,0,0,0,0,0,0,0,31
34,1876,5.36538,279,99,21,0,0,0,0,0,0,0,0,31
35,2166,6.66,333,100,13,0,0,0,0,0,0,0,0,37
36,1952,5.43396,288,100,21,0,0,0,0,0,0,0,0,32
37,1780,5.71154,297,100,19,0,0,0,0,0,0,0,0,33
38,1862,5.36842,306,100,23,0,0,0,0,0,0,0,0,34
39,1974,5.89091,324,100,19,0,0,0,0,0,0,0,0,36
40,2136,5.47059,279,100,20,0,0,0,0,0,0,0,0,31
41,2354,4.96552,288,100,26,0,0,0,0,0,0,0,0,32
42,1988,5.05263,288,100,25,0,0,0,0,0,0,0,0,32
43,1638,4.5,252,100,28,0,0,0,0,0,0,0,0,28
44,1568,4.89474,279,100,26,0,0,0,0,0,0,0,0,31
45,1732,4.72881,279,100,28,0,0,0,0,0,0,0,0,31
46,1760,5.52632,315,100,22,0,0,0,0,0,0,0,0,35
47,1684,5.52632,315,100,22,0,0,0,0,0,0,0,0,35
48,1678,4.89474,279,100,26,0,0,0,0,0,0,0,0,31
49,1792,5.5283,293,100,20,0,0,0,0,1,0,0,0,32
50,1572,4.81034,279,100,27,0,0,0,0,0,0,0,0,31
51,1812,4.65,279,100,29,0,0,0,0,0,0,0,0,31
52,1704,4.74545,261,100,26,0,0,0,0,0,0,0,0,29
53,1848,4.88136,288,100,27,0,0,0,0,0,0,0,0,32
54,1876,4.81034,279,100,27,0,0,0,0,0,0,0,0,31
55,1992,4.88136,288,100,27,0,0,0,0,0,0,0,0,32
56,1798,4.8,288,100,28,0,0,0,0,0,0,0,0,32
57,1914,5.56897,323,100,22,0,0,0,0,0,0,0,1,35
58,1846,5.14286,288,100,24,0,0,0,0,0,0,0,0,32
59,2122,4.35,261,100,31,0,0,0,0,0,0,0,0,29
60,1712,3.77419,234,100,36,0,0,0,0,0,0,0,0,26
61,1744,4.5,252,100,28,0,0,0,0,0,0,0,0,28
62,1564,4.07547,216,100,29,0,0,0,0,0,0,0,0,24
63,1724,4.27869,261,100,32,0,0,0,0,0,0,0,0,29
64,1602,3.6,216,100,36,0,0,0,0,0,0,0,0,24
65,1466,3.66102,216,100,35,0,0,0,0,0,0,0,0,24
66,1520,4.5,261,100,29,0,0,0,0,0,0,0,0,29
67,1616,4.06452,252,100,34,0,0,0,0,0,0,0,0,28
68,1632,3.9661,234,100,33,0,0,0,0,0,0,0,0,26
69,1486,3.9,234,100,34,0,0,0,0,0,0,0,0,26
70,1554,4.57895,261,100,28,0,0,0,0,0,0,0,0,29
71,1394,4.07547,216,100,29,0,0,0,0,0,0,0,0,24
72,1338,4.5,234,100,26,0,0,0,0,0,0,0,0,26
73,1524,4.5,270,100,30,0,0,0,0,0,0,0,0,30
74,1542,4.42623,270,100,31,0,0,0,0,0,0,0,0,30
75,1502,4.11864,243,100,32,0,0,0,0,0,0,0,0,27
76,1648,4.06452,252,100,34,0,0,0,0,0,0,0,0,28
77,1332,4.13115,252,100,33,0,0,0,0,0,0,0,0,28
78,1690,4.28571,270,100,33,0,0,0,0,0,0,0,0,30
79,1790,4.26316,243,100,30,0,0,0,0,0,0,0,0,27
80,1616,3.94737,225,100,32,0,0,0,0,0,0,0,0,25
81,1590,4.66071,261,100,27,0,0,0,0,0,0,0,0,29
82,1182,4.04082,198,100,27,0,0,0,0,0,0,0,0,22
83,1362,3.35593,198,100,37,0,0,0,0,0,0,0,0,22
84,1482,4,252,100,35,0,0,0,0,0,0,0,0,28
85,1606,3.83607,234,100,35,0,0,0,0,0,0,0,0,26
86,1648,3.75,225,100,35,0,0,0,0,0,0,0,0,25
87,1564,3.6,216,100,36,0,0,0,0,0,0,0,0,24
88,1438,3.45,207,100,37,0,0,0,0,0,0,0,0,23
89,1758,3.81356,225,100,34,0,0,0,0,0,0,0,0,25
90,1514,2.89286,162,100,38,0,0,0,0,0,0,0,0,18
91,1528,3.15789,180,100,37,0,0,0,0,0,0,0,0,20
92,1740,3.6,198,100,33,0,0,0,0,0,0,0,0,22
93,1744,3.2459,198,100,39,0,0,0,0,0,0,0,0,22
94,1420,3,189,100,42,0,0,0,0,0,0,0,0,21
95,1420,3.30882,225,100,43,0,0,0,0,0,0,0,0,25
96,1656,4.06452,252,100,34,0,0,0,0,0,0,0,0,28
97,1466,3.35593,198,100,37,0,0,0,0,0,0,0,0,22
98,1184,3.05357,171,100,37,0,0,0,0,0,0,0,0,19
99,1364,2.67188,171,100,45,0,0,0,0,0,0,0,0,19
100,1534,2.90769,189,100,44,0,0,0,0,0,0,0,0,21
101,1328,2.71429,171,100,44,0,0,0,0,0,0,0,0,19
102,1616,3.48387,216,100,38,0,0,0,0,0,0,0,0,24
103,1498,3.14286,198,100,41,0,0,0,0,0,0,0,0,22
