update,points,mean_tasks,total_tasks,total_orgs,task_0,task_1,task_2,task_3,task_4,task_5,task_6,task_7,task_8,task_9
0,0,nan,0,10,0,0,0,0,0,0,0,0,0,0
1,4,0,0,10,2,0,0,0,0,0,0,0,0,0
2,6,0,0,10,2,0,0,0,0,0,0,0,0,0
3,6,0,0,10,2,0,0,0,0,0,0,0,0,0
4,8,0,0,10,3,0,0,0,0,0,0,0,0,0
5,12,0,0,10,4,0,0,0,0,0,0,0,0,0
6,18,0,0,10,4,0,0,0,0,0,0,0,0,0
7,18,0,0,10,4,0,0,0,0,0,0,0,0,0
8,20,0,0,10,4,0,0,0,0,0,0,0,0,0
9,22,0,0,10,4,0,0,0,0,0,0,0,0,0
10,22,0,0,10,4,0,0,0,0,0,0,0,0,0
11,24,0,0,10,4,0,0,0,0,0,0,0,0,0
12,26,0,0,10,5,0,0,0,0,0,0,0,0,0
13,28,0,0,10,5,0,0,0,0,0,0,0,0,0
14,28,0,0,10,5,0,0,0,0,0,0,0,0,0
15,28,0,0,10,5,0,0,0,0,0,0,0,0,0
16,30,0,0,10,5,0,0,0,0,0,0,0,0,0
17,30,0,0,10,5,0,0,0,0,0,0,0,0,0
18,32,0,0,10,5,0,0,0,0,0,0,0,0,0
19,34,0,0,10,5,0,0,0,0,0,0,0,0,0
20,34,0,0,10,5,0,0,0,0,0,0,0,0,0
21,16,0,0,11,5,0,0,0,0,0,0,0,0,0
22,18,0,0,11,6,0,0,0,0,0,0,0,0,0
23,22,0,0,11,6,0,0,0,0,0,0,0,0,0
24,26,0,0,11,6,0,0,0,0,0,0,0,0,0
25,26,0,0,11,6,0,0,0,0,0,0,0,0,0
26,28,0,0,11,6,0,0,0,0,0,0,0,0,0
27,74,1.5,9,12,5,0,0,0,0,0,0,0,0,1
28,54,1.5,9,12,5,0,0,0,0,0,0,0,0,1
29,40,1.5,9,12,5,0,0,0,0,0,0,0,0,1
30,44,1.28571,9,12,6,0,0,0,0,0,0,0,0,1
31,44,1.28571,9,12,6,0,0,0,0,0,0,0,0,1
32,50,1.28571,9,12,6,0,0,0,0,0,0,0,0,1
33,54,1.28571,9,12,6,0,0,0,0,0,0,0,0,1
34,58,1.28571,9,12,6,0,0,0,0,0,0,0,0,1
35,62,1.28571,9,12,6,0,0,0,0,0,0,0,0,1
36,64,1.28571,9,12,6,0,0,0,0,0,0,0,0,1
37,70,1.28571,9,12,6,0,0,0,0,0,0,0,0,1
38,72,1.28571,9,12,6,0,0,0,0,0,0,0,0,1
39,76,1.28571,9,12,6,0,0,0,0,0,0,0,0,1
40,80,1.28571,9,12,6,0,0,0,0,0,0,0,0,1
41,84,1.28571,9,12,6,0,0,0,0,0,0,0,0,1
42,88,1.28571,9,12,6,0,0,0,0,0,0,0,0,1
43,72,1.28571,9,13,6,0,0,0,0,0,0,0,0,1
44,56,1.28571,9,13,6,0,0,0,0,0,0,0,0,1
