update,points,mean_tasks,total_tasks,total_orgs,task_0,task_1,task_2,task_3,task_4,task_5,task_6,task_7,task_8
0,0,nan,0,10,0,0,0,0,0,0,0,0,0
1,76,6,24,11,0,0,0,0,0,0,4,0,0
2,132,6,36,13,0,0,0,0,0,0,6,0,0
3,192,6,48,15,0,0,0,0,0,0,8,0,0
4,176,6,48,16,0,0,0,0,0,0,8,0,0
5,276,6,60,22,0,0,0,0,0,0,10,0,0
6,388,6,72,25,0,0,0,0,0,0,12,0,0
7,380,6.14286,86,28,0,0,0,0,0,0,13,0,1
8,508,6.125,98,33,0,0,0,0,0,0,15,0,1
9,628,6,126,37,0,0,0,0,0,0,21,0,0
10,736,6.08333,146,43,0,0,0,0,0,0,23,0,1
11,636,6.25,150,46,0,0,0,0,0,0,21,0,3
12,652,6.30769,164,48,0,0,0,0,0,0,22,0,4
13,644,6.15385,160,53,0,0,0,0,0,0,24,0,2
14,900,6.25806,194,57,0,0,0,0,0,0,27,0,4
15,1208,6.26316,238,64,0,0,0,0,0,0,33,0,5
16,1104,6.29412,214,70,0,0,0,0,0,0,29,0,5
17,1044,6.26316,238,74,0,0,0,0,0,0,33,0,5
18,1228,6.31111,284,79,0,0,0,0,0,0,38,0,7
19,1276,6.29787,296,83,0,0,0,0,0,0,40,0,7
20,1416,6.20408,304,87,0,0,0,0,0,0,44,0,5
21,1452,6.09091,268,89,0,0,0,0,0,0,42,0,2
22,1804,6.04,302,94,0,0,0,0,0,0,49,0,1
23,1736,6.04167,290,95,0,0,0,0,0,0,47,0,1
24,1848,6.03846,314,98,0,0,0,0,0,0,51,0,1
25,1584,6.12,306,98,0,0,0,0,0,0,47,0,3
26,1664,6.03922,308,99,0,0,0,0,0,0,50,0,1
27,1836,6,318,99,0,0,0,0,0,0,53,0,0
28,1812,6.06667,364,99,0,0,0,0,0,0,58,0,2
29,1708,6.03448,350,100,0,0,0,0,0,0,57,0,1
30,1524,6,294,100,0,0,0,0,0,0,49,0,0
31,1784,6,342,100,0,0,0,0,0,0,57,0,0
32,1748,6.07018,346,100,0,0,0,0,0,0,55,0,2
33,1516,6.10526,348,100,0,0,0,0,0,0,54,0,3
34,1792,6.07143,340,100,0,0,0,0,0,0,54,0,2
35,1724,6.03571,338,100,0,0,0,0,0,0,55,0,1
36,1452,6,348,100,0,0,0,0,0,0,58,0,0
37,1440,6.03846,314,100,0,0,0,0,0,0,51,0,1
38,1840,6.03509,344,100,0,0,0,0,0,0,56,0,1
39,1760,6.03846,314,100,0,0,0,0,0,0,51,0,1
40,1976,6.03704,326,100,0,0,0,0,0,0,53,0,1
41,1600,6.08163,298,100,0,0,0,0,0,0,47,0,2
42,1824,6,330,100,0,0,0,0,0,0,55,0,0
43,1912,6.03922,308,100,0,0,0,0,0,0,50,0,1
44,1792,6.03922,308,100,0,0,0,0,0,0,50,0,1
45,1792,6.03846,314,100,0,0,0,0,0,0,51,0,1
46,1960,6,318,100,0,0,0,0,0,0,53,0,0
47,2036,6.11538,318,100,0,0,0,0,0,0,49,0,3
48,1976,6.11321,324,100,0,0,0,0,0,0,50,0,3
49,1764,6,306,100,0,0,0,0,0,0,51,0,0
50,1668,6.12245,300,100,0,0,0,0,0,0,46,0,3
51,1688,6.16,308,100,0,0,0,0,0,0,46,0,4
