update,points,mean_tasks,total_tasks,total_orgs,task_0,task_1,task_2,task_3,task_4,task_5,task_6,task_7,task_8
0,0,nan,0,10,0,0,0,0,0,0,0,0,0
1,28,6,12,11,0,0,0,0,0,0,2,0,0
2,28,6,18,11,0,0,0,0,0,0,3,0,0
3,56,6.4,32,12,0,0,0,0,0,0,4,0,1
4,68,6,36,13,0,0,0,0,0,0,6,0,0
5,68,6,36,13,0,0,0,0,0,0,6,0,0
6,72,6.4,32,13,0,0,0,0,0,0,4,0,1
7,96,6.28571,44,14,0,0,0,0,0,0,6,0,1
8,100,6.22222,56,17,0,0,0,0,0,0,8,0,1
9,148,6.54545,72,19,0,0,0,0,0,0,8,0,3
10,188,6.33333,76,20,0,0,0,0,0,0,10,0,2
11,104,6.44444,58,21,0,0,0,0,0,0,7,0,2
12,176,6.46154,84,22,0,0,0,0,0,0,10,0,3
13,160,6.46154,84,23,0,0,0,0,0,0,10,0,3
14,200,6.85714,96,25,0,0,0,0,0,0,8,0,6
15,224,6.82353,116,28,0,0,0,0,0,0,10,0,7
16,260,6.9,138,29,0,0,0,0,0,0,11,0,9
17,248,6.84211,130,33,0,0,0,0,0,0,11,0,8
18,328,6.69565,154,38,0,0,0,0,0,0,15,0,8
19,368,6.78571,190,45,0,0,0,0,0,0,17,0,11
20,464,6.43243,238,51,0,0,0,0,0,0,29,0,8
21,508,6.59459,244,54,0,0,0,0,0,0,26,0,11
22,500,6.75676,250,59,0,0,0,0,0,0,23,0,14
23,504,6.78049,278,61,0,0,0,0,0,0,25,0,16
24,584,6.54545,288,63,0,0,0,0,0,0,32,0,12
25,596,6.57778,296,65,0,0,0,0,0,0,32,0,13
26,636,6.70833,322,68,0,0,0,0,0,0,31,0,17
27,700,6.85185,370,75,0,0,0,0,0,0,31,0,23
28,772,6.78571,380,82,0,0,0,0,0,0,34,0,22
29,772,6.82759,396,83,0,0,0,0,0,0,34,0,24
30,836,6.73333,404,86,0,0,0,0,0,0,38,0,22
31,824,6.73333,404,87,0,0,0,0,0,0,38,0,22
32,872,6.75862,392,89,0,0,0,0,0,0,36,0,22
33,796,6.54839,406,91,0,0,0,0,0,0,45,0,17
34,844,6.57143,414,93,0,0,0,0,0,0,45,0,18
35,896,6.70769,436,95,0,0,0,0,0,0,42,0,23
36,908,6.67742,414,97,0,0,0,0,0,0,41,0,21
37,880,6.72727,444,98,0,0,0,0,0,0,42,0,24
38,812,6.53968,412,98,0,0,0,0,0,0,46,0,17
39,1024,6.61538,430,98,0,0,0,0,0,0,45,0,20
40,1008,6.7619,426,99,0,0,0,0,0,0,39,0,24
41,1048,6.75862,392,99,0,0,0,0,0,0,36,0,22
42,1084,6.71186,396,99,0,0,0,0,0,0,38,0,21
43,1008,6.65517,386,99,0,0,0,0,0,0,39,0,19
44,1148,6.66667,420,100,0,0,0,0,0,0,42,0,21
45,1012,6.49123,370,100,0,0,0,0,0,0,43,0,14
46,1304,6.5,364,100,0,0,0,0,0,0,42,0,14
47,1292,6.50847,384,100,0,0,0,0,0,0,44,0,15
48,1144,6.46429,362,100,0,0,0,0,0,0,43,0,13
49,1292,6.54237,386,100,0,0,0,0,0,0,43,0,16
50,1628,6.75,405,100,0,0,0,0,0,0,37,1,22
