update,points,mean_tasks,total_tasks,total_orgs,task_0,task_1,task_2,task_3,task_4,task_5,task_6,task_7,task_8
0,0,nan,0,10,0,0,0,0,0,0,0,0,0
1,16,6,6,10,0,0,0,0,0,0,1,0,0
2,64,6,24,10,0,0,0,0,0,0,4,0,0
3,92,6.33333,38,11,0,0,0,0,0,0,5,0,1
4,92,6.33333,38,11,0,0,0,0,0,0,5,0,1
5,124,6.25,50,11,0,0,0,0,0,0,7,0,1
6,132,6.5,52,12,0,0,0,0,0,0,6,0,2
7,76,6.5,52,13,0,0,0,0,0,0,6,0,2
8,52,6.5,52,13,0,0,0,0,0,0,6,0,2
9,84,6.22222,56,13,0,0,0,0,0,0,8,0,1
10,128,6.22222,56,13,0,0,0,0,0,0,8,0,1
11,124,6.22222,56,13,0,0,0,0,0,0,8,0,1
12,124,6.2,62,15,0,0,0,0,0,0,9,0,1
13,136,6.18182,68,16,0,0,0,0,0,0,10,0,1
14,148,6,66,17,0,0,0,0,0,0,11,0,0
15,168,6.16667,74,18,0,0,0,0,0,0,11,0,1
16,172,6.15385,80,18,0,0,0,0,0,0,12,0,1
17,160,6.15385,80,18,0,0,0,0,0,0,12,0,1
18,180,6,84,19,0,0,0,0,0,0,14,0,0
19,192,6.14286,86,20,0,0,0,0,0,0,13,0,1
20,200,6.13333,92,20,0,0,0,0,0,0,14,0,1
21,164,6.14286,86,21,0,0,0,0,0,0,13,0,1
22,224,6,96,22,0,0,0,0,0,0,16,0,0
23,236,6.26667,94,23,0,0,0,0,0,0,13,0,2
24,196,6.13333,92,24,0,0,0,0,0,0,14,0,1
25,184,6.125,98,26,0,0,0,0,0,0,15,0,1
26,256,6,120,28,0,0,0,0,0,0,20,0,0
27,196,6,96,28,0,0,0,0,0,0,16,0,0
28,276,6,126,29,0,0,0,0,0,0,21,0,0
29,260,6.19048,130,32,0,0,0,0,0,0,19,0,2
30,240,6.09091,134,32,0,0,0,0,0,0,21,0,1
31,300,6,138,34,0,0,0,0,0,0,23,0,0
32,336,6.07692,158,39,0,0,0,0,0,0,25,0,1
33,336,6,150,45,0,0,0,0,0,0,25,0,0
34,416,6,192,49,0,0,0,0,0,0,32,0,0
35,376,6,180,56,0,0,0,0,0,0,30,0,0
36,416,6,204,59,0,0,0,0,0,0,34,0,0
37,552,6,234,64,0,0,0,0,0,0,39,0,0
