update,points,mean_tasks,total_tasks,total_orgs,task_0,task_1,task_2,task_3,task_4,task_5,task_6,task_7,task_8
0,0,nan,0,10,0,0,0,0,0,0,0,0,0
1,0,nan,0,10,0,0,0,0,0,0,0,0,0
2,0,nan,0,10,0,0,0,0,0,0,0,0,0
3,0,nan,0,10,0,0,0,0,0,0,0,0,0
4,0,nan,0,10,0,0,0,0,0,0,0,0,0
5,0,nan,0,10,0,0,0,0,0,0,0,0,0
6,24,8,16,12,0,0,0,0,0,0,0,0,2
7,24,8,16,12,0,0,0,0,0,0,0,0,2
8,24,8,16,12,0,0,0,0,0,0,0,0,2
9,36,8,24,13,0,0,0,0,0,0,0,0,3
10,36,8,24,13,0,0,0,0,0,0,0,0,3
11,36,8,24,13,0,0,0,0,0,0,0,0,3
12,48,8,32,14,0,0,0,0,0,0,0,0,4
13,48,8,32,14,0,0,0,0,0,0,0,0,4
14,48,8,32,14,0,0,0,0,0,0,0,0,4
15,48,8,32,14,0,0,0,0,0,0,0,0,4
16,60,8,32,15,0,0,0,0,0,0,0,0,4
17,28,8,24,15,0,0,0,0,0,0,0,0,3
18,40,8,32,16,0,0,0,0,0,0,0,0,4
19,40,8,32,16,0,0,0,0,0,0,0,0,4
20,40,8,32,16,0,0,0,0,0,0,0,0,4
21,40,8,32,16,0,0,0,0,0,0,0,0,4
22,40,8,32,16,0,0,0,0,0,0,0,0,4
23,40,8,32,16,0,0,0,0,0,0,0,0,4
24,40,8,32,16,0,0,0,0,0,0,0,0,4
25,40,8,32,16,0,0,0,0,0,0,0,0,4
26,52,8,32,16,0,0,0,0,0,0,0,0,4
27,52,8,32,16,0,0,0,0,0,0,0,0,4
28,52,8,32,16,0,0,0,0,0,0,0,0,4
29,52,8,32,16,0,0,0,0,0,0,0,0,4
30,52,8,32,16,0,0,0,0,0,0,0,0,4
31,52,8,32,16,0,0,0,0,0,0,0,0,4
32,52,8,32,16,0,0,0,0,0,0,0,0,4
33,52,8,32,16,0,0,0,0,0,0,0,0,4
34,52,8,32,16,0,0,0,0,0,0,0,0,4
35,52,8,32,16,0,0,0,0,0,0,0,0,4
36,64,8,32,16,0,0,0,0,0,0,0,0,4
37,32,8,24,16,0,0,0,0,0,0,0,0,3
38,44,8,32,17,0,0,0,0,0,0,0,0,4
39,56,8,40,18,0,0,0,0,0,0,0,0,5
40,56,8,40,18,0,0,0,0,0,0,0,0,5
41,68,8,48,19,0,0,0,0,0,0,0,0,6
42,68,8,48,19,0,0,0,0,0,0,0,0,6
43,80,8,48,20,0,0,0,0,0,0,0,0,6
44,60,8,48,20,0,0,0,0,0,0,0,0,6
45,60,8,48,20,0,0,0,0,0,0,0,0,6
46,72,8,48,21,0,0,0,0,0,0,0,0,6
47,72,8,48,21,0,0,0,0,0,0,0,0,6
48,84,8,56,22,0,0,0,0,0,0,0,0,7
49,84,8,56,22,0,0,0,0,0,0,0,0,7
50,108,8,64,24,0,0,0,0,0,0,0,0,8
51,76,8,56,24,0,0,0,0,0,0,0,0,7
52,88,8,64,25,0,0,0,0,0,0,0,0,8
53,108,8,64,26,0,0,0,0,0,0,0,0,8
54,108,8,64,26,0,0,0,0,0,0,0,0,8
55,120,8,72,26,0,0,0,0,0,0,0,0,9
56,144,8,72,26,0,0,0,0,0,0,0,0,9
57,104,8,72,27,0,0,0,0,0,0,0,0,9
58,116,8,80,27,0,0,0,0,0,0,0,0,10
59,128,8,88,28,0,0,0,0,0,0,0,0,11
60,140,8,96,29,0,0,0,0,0,0,0,0,12
61,140,8,96,29,0,0,0,0,0,0,0,0,12
62,164,8,112,30,0,0,0,0,0,0,0,0,14
63,164,8,104,30,0,0,0,0,0,0,0,0,13
64,144,8,104,30,0,0,0,0,0,0,0,0,13
65,144,8,104,30,0,0,0,0,0,0,0,0,13
66,156,8,112,30,0,0,0,0,0,0,0,0,14
67,156,8,112,30,0,0,0,0,0,0,0,0,14
68,168,8,120,30,0,0,0,0,0,0,0,0,15
69,168,8,120,30,0,0,0,0,0,0,0,0,15
70,192,8,128,30,0,0,0,0,0,0,0,0,16
71,160,8,120,30,0,0,0,0,0,0,0,0,15
72,184,8,128,30,0,0,0,0,0,0,0,0,16
73,176,8,128,31,0,0,0,0,0,0,0,0,16
74,188,8,128,32,0,0,0,0,0,0,0,0,16
75,168,8,128,32,0,0,0,0,0,0,0,0,16
76,180,8,136,33,0,0,0,0,0,0,0,0,17
77,192,8,144,34,0,0,0,0,0,0,0,0,18
78,212,8,144,35,0,0,0,0,0,0,0,0,18
79,196,8,152,37,0,0,0,0,0,0,0,0,19
80,204,8,152,38,0,0,0,0,0,0,0,0,19
81,212,8,144,38,0,0,0,0,0,0,0,0,18
82,180,8,136,38,0,0,0,0,0,0,0,0,17
83,192,8,144,38,0,0,0,0,0,0,0,0,18
84,216,8,152,39,0,0,0,0,0,0,0,0,19
85,228,8,160,40,0,0,0,0,0,0,0,0,20
86,232,8,168,42,0,0,0,0,0,0,0,0,21
87,208,8,160,42,0,0,0,0,0,0,0,0,20
88,220,8,168,43,0,0,0,0,0,0,0,0,21
89,220,8,168,43,0,0,0,0,0,0,0,0,21
90,240,8,168,43,0,0,0,0,0,0,0,0,21
91,240,8,168,43,0,0,0,0,0,0,0,0,21
92,240,8,168,43,0,0,0,0,0,0,0,0,21
93,240,8,168,43,0,0,0,0,0,0,0,0,21
94,240,8,168,43,0,0,0,0,0,0,0,0,21
95,252,8,168,43,0,0,0,0,0,0,0,0,21
96,264,8,176,44,0,0,0,0,0,0,0,0,22
97,220,8,176,44,0,0,0,0,0,0,0,0,22
98,220,8,176,44,0,0,0,0,0,0,0,0,22
99,232,8,176,44,0,0,0,0,0,0,0,0,22
100,232,8,168,44,0,0,0,0,0,0,0,0,21
101,244,8,168,45,0,0,0,0,0,0,0,0,21
102,248,8,176,46,0,0,0,0,0,0,0,0,22
103,224,8,176,46,0,0,0,0,0,0,0,0,22
104,224,8,176,46,0,0,0,0,0,0,0,0,22
105,236,8,176,46,0,0,0,0,0,0,0,0,22
106,248,8,160,47,0,0,0,0,0,0,0,0,20
107,216,8,168,47,0,0,0,0,0,0,0,0,21
108,240,8,176,47,0,0,0,0,0,0,0,0,22
109,224,8,168,47,0,0,0,0,0,0,0,0,21
110,224,8,160,47,0,0,0,0,0,0,0,0,20
111,248,8,168,48,0,0,0,0,0,0,0,0,21
112,284,8,176,48,0,0,0,0,0,0,0,0,22
113,272,8,176,48,0,0,0,0,0,0,0,0,22
