update,points,mean_tasks,total_tasks,total_orgs,task_0,task_1,task_2,task_3,task_4,task_5,task_6,task_7,task_8
0,0,nan,0,10,0,0,0,0,0,0,0,0,0
1,0,nan,0,10,0,0,0,0,0,0,0,0,0
2,0,nan,0,10,0,0,0,0,0,0,0,0,0
3,0,nan,0,10,0,0,0,0,0,0,0,0,0
4,0,nan,0,10,0,0,0,0,0,0,0,0,0
5,0,nan,0,10,0,0,0,0,0,0,0,0,0
6,0,nan,0,10,0,0,0,0,0,0,0,0,0
7,0,nan,0,10,0,0,0,0,0,0,0,0,0
8,0,nan,0,10,0,0,0,0,0,0,0,0,0
9,12,8,8,11,0,0,0,0,0,0,0,0,1
10,12,8,16,11,0,0,0,0,0,0,0,0,2
11,12,8,16,11,0,0,0,0,0,0,0,0,2
12,12,8,16,11,0,0,0,0,0,0,0,0,2
13,12,8,16,11,0,0,0,0,0,0,0,0,2
14,12,8,16,11,0,0,0,0,0,0,0,0,2
15,24,8,16,11,0,0,0,0,0,0,0,0,2
16,24,8,16,11,0,0,0,0,0,0,0,0,2
17,24,8,16,11,0,0,0,0,0,0,0,0,2
18,36,8,16,12,0,0,0,0,0,0,0,0,2
19,36,8,24,14,0,0,0,0,0,0,0,0,3
20,16,8,24,15,0,0,0,0,0,0,0,0,3
21,28,8,24,16,0,0,0,0,0,0,0,0,3
22,28,8,24,16,0,0,0,0,0,0,0,0,3
23,28,8,24,16,0,0,0,0,0,0,0,0,3
24,40,8,24,16,0,0,0,0,0,0,0,0,3
25,28,8,40,17,0,0,0,0,0,0,0,0,5
26,28,8,40,17,0,0,0,0,0,0,0,0,5
27,40,8,40,18,0,0,0,0,0,0,0,0,5
28,48,8,32,18,0,0,0,0,0,0,0,0,4
29,36,8,40,18,0,0,0,0,0,0,0,0,5
30,48,8,40,19,0,0,0,0,0,0,0,0,5
31,48,8,32,19,0,0,0,0,0,0,0,0,4
32,60,8,32,19,0,0,0,0,0,0,0,0,4
33,40,8,32,19,0,0,0,0,0,0,0,0,4
34,52,8,32,20,0,0,0,0,0,0,0,0,4
35,28,8,32,20,0,0,0,0,0,0,0,0,4
36,28,8,32,20,0,0,0,0,0,0,0,0,4
37,28,8,32,20,0,0,0,0,0,0,0,0,4
38,40,8,40,21,0,0,0,0,0,0,0,0,5
39,60,8,48,21,0,0,0,0,0,0,0,0,6
40,60,8,48,21,0,0,0,0,0,0,0,0,6
41,72,8,48,21,0,0,0,0,0,0,0,0,6
42,60,8,56,21,0,0,0,0,0,0,0,0,7
43,84,8,56,23,0,0,0,0,0,0,0,0,7
44,60,8,56,23,0,0,0,0,0,0,0,0,7
45,96,8,56,24,0,0,0,0,0,0,0,0,7
46,72,8,56,24,0,0,0,0,0,0,0,0,7
47,96,8,64,25,0,0,0,0,0,0,0,0,8
48,120,8,64,26,0,0,0,0,0,0,0,0,8
49,112,8,72,27,0,0,0,0,0,0,0,0,9
50,80,8,80,28,0,0,0,0,0,0,0,0,10
51,92,8,72,28,0,0,0,0,0,0,0,0,9
52,104,8,72,28,0,0,0,0,0,0,0,0,9
53,92,8,64,29,0,0,0,0,0,0,0,0,8
54,68,8,64,29,0,0,0,0,0,0,0,0,8
55,44,8,64,29,0,0,0,0,0,0,0,0,8
56,44,8,64,29,0,0,0,0,0,0,0,0,8
57,68,8,72,29,0,0,0,0,0,0,0,0,9
58,80,8,72,30,0,0,0,0,0,0,0,0,9
59,92,8,80,31,0,0,0,0,0,0,0,0,10
60,128,8,88,32,0,0,0,0,0,0,0,0,11
61,104,8,88,32,0,0,0,0,0,0,0,0,11
62,136,8,88,34,0,0,0,0,0,0,0,0,11
63,124,8,88,34,0,0,0,0,0,0,0,0,11
64,136,8,88,34,0,0,0,0,0,0,0,0,11
65,148,8,88,35,0,0,0,0,0,0,0,0,11
66,128,8,88,35,0,0,0,0,0,0,0,0,11
67,96,8,96,36,0,0,0,0,0,0,0,0,12
68,108,8,80,36,0,0,0,0,0,0,0,0,10
69,88,8,80,36,0,0,0,0,0,0,0,0,10
70,100,8,80,36,0,0,0,0,0,0,0,0,10
71,108,8,80,38,0,0,0,0,0,0,0,0,10
72,80,8,80,38,0,0,0,0,0,0,0,0,10
73,80,8,80,38,0,0,0,0,0,0,0,0,10
74,104,8,80,38,0,0,0,0,0,0,0,0,10
75,108,8,80,39,0,0,0,0,0,0,0,0,10
76,100,8,80,41,0,0,0,0,0,0,0,0,10
77,112,8,80,41,0,0,0,0,0,0,0,0,10
78,88,8,80,41,0,0,0,0,0,0,0,0,10
79,100,8,88,41,0,0,0,0,0,0,0,0,11
80,124,8,96,41,0,0,0,0,0,0,0,0,12
81,160,8,96,42,0,0,0,0,0,0,0,0,12
82,156,8,96,42,0,0,0,0,0,0,0,0,12
83,168,8,104,43,0,0,0,0,0,0,0,0,13
84,128,8,104,43,0,0,0,0,0,0,0,0,13
85,144,8,104,44,0,0,0,0,0,0,0,0,13
86,136,8,104,45,0,0,0,0,0,0,0,0,13
87,120,8,112,46,0,0,0,0,0,0,0,0,14
88,96,8,112,46,0,0,0,0,0,0,0,0,14
89,140,8,120,46,0,0,0,0,0,0,0,0,15
90,116,8,112,46,0,0,0,0,0,0,0,0,14
91,140,8,120,46,0,0,0,0,0,0,0,0,15
92,132,8,120,48,0,0,0,0,0,0,0,0,15
93,144,8,136,49,0,0,0,0,0,0,0,0,17
94,204,8,144,50,0,0,0,0,0,0,0,0,18
95,220,8,168,52,0,0,0,0,0,0,0,0,21
96,244,8,168,53,0,0,0,0,0,0,0,0,21
97,268,8,176,53,0,0,0,0,0,0,0,0,22
98,236,8,168,53,0,0,0,0,0,0,0,0,21
99,224,8,168,53,0,0,0,0,0,0,0,0,21
100,248,8,168,54,0,0,0,0,0,0,0,0,21
101,264,8,176,56,0,0,0,0,0,0,0,0,22
102,228,8,176,56,0,0,0,0,0,0,0,0,22
103,236,8,168,56,0,0,0,0,0,0,0,0,21
104,304,8,184,57,0,0,0,0,0,0,0,0,23
105,280,8,200,58,0,0,0,0,0,0,0,0,25
106,288,8,200,58,0,0,0,0,0,0,0,0,25
107,216,8,192,59,0,0,0,0,0,0,0,0,24
108,204,8,192,59,0,0,0,0,0,0,0,0,24
109,216,8,200,59,0,0,0,0,0,0,0,0,25
110,252,8,208,59,0,0,0,0,0,0,0,0,26
111,260,8,208,60,0,0,0,0,0,0,0,0,26
112,216,8,192,60,0,0,0,0,0,0,0,0,24
113,228,8,216,61,0,0,0,0,0,0,0,0,27
