update,points,mean_tasks,total_tasks,total_orgs,task_0,task_1,task_2,task_3,task_4,task_5,task_6,task_7,task_8
0,0,nan,0,10,0,0,0,0,0,0,0,0,0
1,0,nan,0,10,0,0,0,0,0,0,0,0,0
2,0,nan,0,10,0,0,0,0,0,0,0,0,0
3,0,nan,0,10,0,0,0,0,0,0,0,0,0
4,12,8,8,11,0,0,0,0,0,0,0,0,1
5,12,8,8,11,0,0,0,0,0,0,0,0,1
6,12,8,8,11,0,0,0,0,0,0,0,0,1
7,12,8,8,11,0,0,0,0,0,0,0,0,1
8,24,8,16,11,0,0,0,0,0,0,0,0,2
9,24,8,16,11,0,0,0,0,0,0,0,0,2
10,36,8,24,12,0,0,0,0,0,0,0,0,3
11,36,8,24,12,0,0,0,0,0,0,0,0,3
12,36,8,24,12,0,0,0,0,0,0,0,0,3
13,36,8,24,12,0,0,0,0,0,0,0,0,3
14,36,8,24,12,0,0,0,0,0,0,0,0,3
15,36,8,24,12,0,0,0,0,0,0,0,0,3
16,36,8,24,12,0,0,0,0,0,0,0,0,3
17,36,8,24,12,0,0,0,0,0,0,0,0,3
18,48,8,32,13,0,0,0,0,0,0,0,0,4
19,48,8,32,13,0,0,0,0,0,0,0,0,4
20,48,8,32,13,0,0,0,0,0,0,0,0,4
21,48,8,32,13,0,0,0,0,0,0,0,0,4
22,48,8,32,13,0,0,0,0,0,0,0,0,4
23,48,8,32,13,0,0,0,0,0,0,0,0,4
24,48,8,32,13,0,0,0,0,0,0,0,0,4
25,48,8,32,13,0,0,0,0,0,0,0,0,4
26,60,8,32,13,0,0,0,0,0,0,0,0,4
27,40,8,32,14,0,0,0,0,0,0,0,0,4
28,40,8,32,14,0,0,0,0,0,0,0,0,4
29,40,8,32,14,0,0,0,0,0,0,0,0,4
30,40,8,32,14,0,0,0,0,0,0,0,0,4
31,40,8,32,14,0,0,0,0,0,0,0,0,4
32,40,8,32,14,0,0,0,0,0,0,0,0,4
33,52,8,32,15,0,0,0,0,0,0,0,0,4
34,52,8,32,15,0,0,0,0,0,0,0,0,4
35,52,8,32,15,0,0,0,0,0,0,0,0,4
36,64,8,40,15,0,0,0,0,0,0,0,0,5
37,64,8,40,15,0,0,0,0,0,0,0,0,5
38,64,8,40,15,0,0,0,0,0,0,0,0,5
39,64,8,40,15,0,0,0,0,0,0,0,0,5
40,76,8,40,15,0,0,0,0,0,0,0,0,5
41,56,8,40,16,0,0,0,0,0,0,0,0,5
42,56,8,40,16,0,0,0,0,0,0,0,0,5
43,56,8,40,16,0,0,0,0,0,0,0,0,5
44,56,8,40,16,0,0,0,0,0,0,0,0,5
45,56,8,40,16,0,0,0,0,0,0,0,0,5
46,56,8,40,16,0,0,0,0,0,0,0,0,5
47,56,8,32,16,0,0,0,0,0,0,0,0,4
48,56,8,32,16,0,0,0,0,0,0,0,0,4
49,56,8,32,16,0,0,0,0,0,0,0,0,4
50,56,8,32,16,0,0,0,0,0,0,0,0,4
51,56,8,32,16,0,0,0,0,0,0,0,0,4
52,56,8,32,16,0,0,0,0,0,0,0,0,4
53,68,8,40,17,0,0,0,0,0,0,0,0,5
54,68,8,32,17,0,0,0,0,0,0,0,0,4
55,48,8,32,17,0,0,0,0,0,0,0,0,4
56,48,8,32,17,0,0,0,0,0,0,0,0,4
57,48,8,32,17,0,0,0,0,0,0,0,0,4
58,48,8,32,17,0,0,0,0,0,0,0,0,4
59,48,8,32,17,0,0,0,0,0,0,0,0,4
60,48,8,32,17,0,0,0,0,0,0,0,0,4
61,48,8,32,17,0,0,0,0,0,0,0,0,4
62,48,8,32,17,0,0,0,0,0,0,0,0,4
63,48,8,32,17,0,0,0,0,0,0,0,0,4
64,48,8,32,17,0,0,0,0,0,0,0,0,4
65,48,8,32,17,0,0,0,0,0,0,0,0,4
66,60,8,32,17,0,0,0,0,0,0,0,0,4
67,40,8,32,17,0,0,0,0,0,0,0,0,4
68,40,8,32,17,0,0,0,0,0,0,0,0,4
69,40,8,32,17,0,0,0,0,0,0,0,0,4
70,40,8,32,17,0,0,0,0,0,0,0,0,4
71,40,8,32,17,0,0,0,0,0,0,0,0,4
72,52,8,40,17,0,0,0,0,0,0,0,0,5
73,76,8,48,18,0,0,0,0,0,0,0,0,6
74,76,8,48,18,0,0,0,0,0,0,0,0,6
75,88,8,56,19,0,0,0,0,0,0,0,0,7
76,88,8,56,19,0,0,0,0,0,0,0,0,7
77,100,8,56,19,0,0,0,0,0,0,0,0,7
78,80,8,56,19,0,0,0,0,0,0,0,0,7
79,88,8,40,19,0,0,0,0,0,0,0,0,5
80,48,8,40,20,0,0,0,0,0,0,0,0,5
81,48,8,40,20,0,0,0,0,0,0,0,0,5
82,48,8,40,20,0,0,0,0,0,0,0,0,5
83,48,8,40,20,0,0,0,0,0,0,0,0,5
84,48,8,40,20,0,0,0,0,0,0,0,0,5
85,76,8,48,21,0,0,0,0,0,0,0,0,6
86,80,8,56,23,0,0,0,0,0,0,0,0,7
87,92,8,64,24,0,0,0,0,0,0,0,0,8
88,92,8,64,24,0,0,0,0,0,0,0,0,8
89,92,8,64,24,0,0,0,0,0,0,0,0,8
90,92,8,64,24,0,0,0,0,0,0,0,0,8
91,104,8,72,24,0,0,0,0,0,0,0,0,9
92,124,8,64,25,0,0,0,0,0,0,0,0,8
93,88,8,56,25,0,0,0,0,0,0,0,0,7
94,68,8,56,26,0,0,0,0,0,0,0,0,7
95,68,8,56,26,0,0,0,0,0,0,0,0,7
96,68,8,56,26,0,0,0,0,0,0,0,0,7
97,68,8,56,26,0,0,0,0,0,0,0,0,7
98,68,8,56,26,0,0,0,0,0,0,0,0,7
99,88,8,56,27,0,0,0,0,0,0,0,0,7
100,112,8,72,27,0,0,0,0,0,0,0,0,9
101,112,8,72,27,0,0,0,0,0,0,0,0,9
102,112,8,72,27,0,0,0,0,0,0,0,0,9
103,124,8,72,27,0,0,0,0,0,0,0,0,9
104,104,8,72,27,0,0,0,0,0,0,0,0,9
105,128,8,72,27,0,0,0,0,0,0,0,0,9
106,76,8,64,27,0,0,0,0,0,0,0,0,8
107,76,8,64,27,0,0,0,0,0,0,0,0,8
108,76,8,64,27,0,0,0,0,0,0,0,0,8
109,76,8,64,27,0,0,0,0,0,0,0,0,8
110,76,8,64,27,0,0,0,0,0,0,0,0,8
111,100,8,80,28,0,0,0,0,0,0,0,0,10
112,124,8,80,28,0,0,0,0,0,0,0,0,10
113,148,8,88,30,0,0,0,0,0,0,0,0,11
