update,points,mean_tasks,total_tasks,total_orgs,task_0,task_1,task_2,task_3,task_4,task_5,task_6,task_7,task_8,task_9
0,0,nan,0,10,0,0,0,0,0,0,0,0,0,0
1,76,6,24,11,0,0,0,0,0,0,4,0,0,0
2,132,6,36,13,0,0,0,0,0,0,6,0,0,0
3,192,6,48,15,0,0,0,0,0,0,8,0,0,0
4,176,6,48,16,0,0,0,0,0,0,8,0,0,0
5,276,6,60,22,0,0,0,0,0,0,10,0,0,0
6,388,6,72,25,0,0,0,0,0,0,12,0,0,0
7,412,6.21429,87,28,0,0,0,0,0,0,13,0,0,1
8,540,6.1875,99,33,0,0,0,0,0,0,15,0,0,1
9,660,6,126,37,0,0,0,0,0,0,21,0,0,0
10,800,6.125,147,43,0,0,0,0,0,0,23,0,0,1
11,736,6.3913,147,46,0,0,0,0,0,0,20,0,0,3
12,632,6.36,159,51,0,0,0,0,0,0,22,0,0,3
13,788,6.2,186,61,0,0,0,0,0,0,28,0,0,2
14,912,6.16667,222,64,0,0,0,0,0,0,34,0,0,2
15,1004,6.16667,222,68,0,0,0,0,0,0,34,0,0,2
16,1288,6,258,74,0,0,0,0,0,0,43,0,0,0
17,1364,6,252,80,0,0,0,0,0,0,42,0,0,0
18,1636,6.13043,282,85,0,0,0,0,0,0,44,0,0,2
19,1592,6.0625,291,87,0,0,0,0,0,0,47,0,0,1
20,1788,6.12245,300,91,0,0,0,0,0,0,47,0,0,2
21,1628,6.11765,312,93,0,0,0,0,0,0,49,0,0,2
22,1644,6.11765,312,96,0,0,0,0,0,0,49,0,0,2
23,1840,6.125,294,96,0,0,0,0,0,0,46,0,0,2
24,2008,6.05769,315,97,0,0,0,0,0,0,51,0,0,1
25,1540,6,318,97,0,0,0,0,0,0,53,0,0,0
26,1728,6.11321,324,98,0,0,0,0,0,0,51,0,0,2
27,1684,6.11538,318,99,0,0,0,0,0,0,50,0,0,2
28,1932,6.10526,348,99,0,0,0,0,0,0,55,0,0,2
29,2128,6.36842,363,99,0,0,0,0,0,0,50,0,0,7
30,2092,6.44444,348,100,0,0,0,0,0,0,46,0,0,8
31,2256,6.5,351,100,0,0,0,0,0,0,45,0,0,9
32,2064,6.44444,348,100,0,0,0,0,0,0,46,0,0,8
33,2048,6.55932,387,100,0,0,0,0,0,0,48,0,0,11
34,2216,6.72,336,100,0,0,0,0,0,0,38,0,0,12
35,2260,6.64706,339,100,0,0,0,0,0,0,40,0,0,11
36,1872,6.76471,345,100,0,0,0,0,0,0,38,0,0,13
37,1912,6.65455,366,100,0,0,0,0,0,0,43,0,0,12
38,1972,6.66667,360,100,0,0,0,0,0,0,42,0,0,12
39,2032,6.40678,378,100,0,0,0,0,0,0,51,0,0,8
40,1932,6.6,363,100,0,0,0,0,0,0,44,0,0,11
41,2120,6.6,330,100,0,0,0,0,0,0,40,0,0,10
42,1880,6.51724,378,100,0,0,0,0,0,0,48,0,0,10
43,1880,6.36207,369,100,0,0,0,0,0,0,51,0,0,7
44,2152,6.30508,372,100,0,0,0,0,0,0,53,0,0,6
45,1672,6.16981,327,100,0,0,0,0,0,0,50,0,0,3
46,1516,6.17308,321,100,0,0,0,0,0,0,49,0,0,3
47,1240,6.2037,335,100,0,0,0,0,0,0,50,0,1,3
48,1744,6.39344,390,100,0,0,0,0,0,0,53,0,0,8
49,1432,6.16364,339,100,0,0,0,0,0,0,52,0,0,3
50,1460,6.17308,321,100,0,0,0,0,0,0,49,0,0,3
51,1716,6.16667,333,100,0,0,0,0,0,0,51,0,0,3
52,1784,6.28846,327,100,0,0,0,0,0,0,47,0,0,5
53,1944,6.21818,342,100,0,0,0,0,0,0,51,0,0,4
54,1484,6.34426,387,100,0,0,0,0,0,0,54,0,0,7
55,1388,6.26316,357,100,0,0,0,0,0,0,52,0,0,5
56,1668,6.27692,408,100,0,0,0,0,0,0,59,0,0,6
57,1504,6.31034,366,100,0,0,0,0,0,0,52,0,0,6
58,1752,6.27273,345,100,0,0,0,0,0,0,50,0,0,5
59,1544,6.21429,348,100,0,0,0,0,0,0,52,0,0,4
60,1668,6.26316,357,100,0,0,0,0,0,0,52,0,0,5
61,1008,6.16981,327,100,0,0,0,0,0,0,50,0,0,3
62,1100,6.22642,330,100,0,0,0,0,0,0,49,0,0,4
63,1580,6.35088,362,100,0,0,0,0,0,0,50,0,1,6
64,1644,6.55556,354,100,0,0,0,0,0,0,44,0,0,10
65,1640,6.5,351,100,0,0,0,0,0,0,45,0,0,9
66,1368,6.47368,369,100,0,0,0,0,0,0,48,0,0,9
67,1688,6.63934,405,100,0,0,0,0,0,0,48,0,0,13
68,1820,6.72414,390,100,0,0,0,0,0,0,44,0,0,14
69,1316,6.56604,348,100,0,0,0,0,0,0,43,0,0,10
70,1740,6.67241,387,100,0,0,0,0,0,0,45,0,0,13
71,1452,6.53571,366,100,0,0,0,0,0,0,46,0,0,10
72,1540,6.55556,354,100,0,0,0,0,0,0,44,0,0,10
73,1568,6.58929,369,100,0,0,0,0,0,0,45,0,0,11
74,1712,6.43636,354,100,0,0,0,0,0,0,47,0,0,8
75,1496,6.54545,360,100,0,0,0,0,0,0,45,0,0,10
