update,points,mean_tasks,total_tasks,total_orgs,task_0,task_1,task_2,task_3,task_4,task_5,task_6,task_7,task_8,task_9
0,0,nan,0,10,0,0,0,0,0,0,0,0,0,0
1,64,6,24,10,0,0,0,0,0,0,4,0,0,0
2,72,6,30,12,0,0,0,0,0,0,5,0,0,0
3,84,6,36,13,0,0,0,0,0,0,6,0,0,0
4,132,6,54,13,0,0,0,0,0,0,9,0,0,0
5,108,6,54,15,0,0,0,0,0,0,9,0,0,0
6,112,6,54,15,0,0,0,0,0,0,9,0,0,0
7,108,6,54,16,0,0,0,0,0,0,9,0,0,0
8,144,6,66,17,0,0,0,0,0,0,11,0,0,0
9,148,6,72,19,0,0,0,0,0,0,12,0,0,0
10,184,6,78,22,0,0,0,0,0,0,13,0,0,0
11,164,6,78,24,0,0,0,0,0,0,13,0,0,0
12,216,6,90,26,0,0,0,0,0,0,15,0,0,0
13,240,6,114,29,0,0,0,0,0,0,19,0,0,0
14,256,6,114,30,0,0,0,0,0,0,19,0,0,0
15,276,6,138,32,0,0,0,0,0,0,23,0,0,0
16,320,6,144,35,0,0,0,0,0,0,24,0,0,0
17,296,6,156,36,0,0,0,0,0,0,26,0,0,0
18,388,6,162,39,0,0,0,0,0,0,27,0,0,0
19,332,6,168,42,0,0,0,0,0,0,28,0,0,0
20,364,6,174,45,0,0,0,0,0,0,29,0,0,0
21,432,6,198,49,0,0,0,0,0,0,33,0,0,0
22,472,6,210,53,0,0,0,0,0,0,35,0,0,0
23,548,6,228,58,0,0,0,0,0,0,38,0,0,0
24,604,6,252,58,0,0,0,0,0,0,42,0,0,0
25,632,6.06977,261,62,0,0,0,0,0,0,42,0,0,1
26,532,6.06977,261,64,0,0,0,0,0,0,42,0,0,1
27,636,6.06667,273,66,0,0,0,0,0,0,44,0,0,1
28,556,6.07692,237,70,0,0,0,0,0,0,38,0,0,1
29,756,6,294,73,0,0,0,0,0,0,49,0,0,0
30,760,6.0625,291,76,0,0,0,0,0,0,47,0,0,1
31,732,6.10417,293,80,0,0,0,0,0,0,46,0,1,1
32,948,6.18644,365,84,0,0,0,0,0,0,55,0,1,3
33,960,6.10345,354,88,0,0,0,0,0,0,56,0,0,2
34,972,6.09524,384,91,0,0,0,0,0,0,61,0,0,2
35,964,6,372,92,0,0,0,0,0,0,62,0,0,0
36,888,6,360,93,0,0,0,0,0,0,60,0,0,0
37,856,6,354,94,0,0,0,0,0,0,59,0,0,0
38,944,6.04839,375,94,0,0,0,0,0,0,61,0,0,1
39,1112,6.08955,408,94,0,0,0,0,0,0,65,0,0,2
40,1036,6.13433,411,97,0,0,0,0,0,0,64,0,0,3
41,1028,6.08571,426,98,0,0,0,0,0,0,68,0,0,2
42,1004,6.04348,417,99,0,0,0,0,0,0,68,0,0,1
43,1000,6.04348,417,99,0,0,0,0,0,0,68,0,0,1
44,908,6.04545,399,99,0,0,0,0,0,0,65,0,0,1
45,888,6.04688,387,99,0,0,0,0,0,0,63,0,0,1
46,904,6,402,100,0,0,0,0,0,0,67,0,0,0
47,900,6,402,100,0,0,0,0,0,0,67,0,0,0
48,1016,6.04615,393,100,0,0,0,0,0,0,64,0,0,1
49,932,6.04762,381,100,0,0,0,0,0,0,62,0,0,1
50,1192,6.08696,420,100,0,0,0,0,0,0,67,0,0,2
51,1256,6.1,366,100,0,0,0,0,0,0,58,0,0,2
52,1276,6.04839,375,100,0,0,0,0,0,0,61,0,0,1
53,1052,6.10526,348,100,0,0,0,0,0,0,55,0,0,2
54,1056,6.10714,342,100,0,0,0,0,0,0,54,0,0,2
55,1248,6.04918,369,100,0,0,0,0,0,0,60,0,0,1
56,1100,6.10526,348,100,0,0,0,0,0,0,55,0,0,2
57,1232,6.09836,372,100,0,0,0,0,0,0,59,0,0,2
58,1368,6.15,369,100,0,0,0,0,0,0,57,0,0,3
59,1464,6.1,366,100,0,0,0,0,0,0,58,0,0,2
60,1736,6.09677,378,100,0,0,0,0,0,0,60,0,0,2
61,1700,6.1,366,100,0,0,0,0,0,0,58,0,0,2
62,1412,6.15254,363,100,0,0,0,0,0,0,56,0,0,3
63,1416,6.10345,354,100,0,0,0,0,0,0,56,0,0,2
64,1540,6.09524,384,100,0,0,0,0,0,0,61,0,0,2
65,1444,6.10909,336,100,0,0,0,0,0,0,53,0,0,2
66,1372,6.29508,384,100,0,0,0,0,0,0,55,0,0,6
67,1568,6.24194,387,100,0,0,0,0,0,0,57,0,0,5
68,1460,6.20339,366,100,0,0,0,0,0,0,55,0,0,4
69,1008,6.11111,330,100,0,0,0,0,0,0,52,0,0,2
70,1244,6.29032,390,100,0,0,0,0,0,0,56,0,0,6
71,1164,6.35593,375,100,0,0,0,0,0,0,52,0,0,7
72,1180,6.15517,357,100,0,0,0,0,0,0,55,0,0,3
73,1188,6.05263,345,100,0,0,0,0,0,0,56,0,0,1
74,1296,6.15,369,100,0,0,0,0,0,0,57,0,0,3
75,1388,6.25,375,100,0,0,0,0,0,0,55,0,0,5
76,1312,6.25,375,100,0,0,0,0,0,0,55,0,0,5
77,1248,6.13846,399,100,0,0,0,0,0,0,62,0,0,3
78,1108,6.14286,387,100,0,0,0,0,0,0,60,0,0,3
79,1060,6.10169,360,100,0,0,0,0,0,0,57,0,0,2
80,1328,6.1875,396,100,0,0,0,0,0,0,60,0,0,4
81,1188,6.19355,384,100,0,0,0,0,0,0,58,0,0,4
82,1256,6.09677,378,100,0,0,0,0,0,0,60,0,0,2
83,1576,6.13235,417,100,0,0,0,0,0,0,65,0,0,3
84,1380,6.29032,390,100,0,0,0,0,0,0,56,0,0,6
85,1472,6.24194,387,100,0,0,0,0,0,0,57,0,0,5
86,1516,6.14062,393,100,0,0,0,0,0,0,61,0,0,3
87,1540,6.34426,387,100,0,0,0,0,0,0,54,0,0,7
88,1424,6.28302,333,100,0,0,0,0,0,0,48,0,0,5
89,1648,6.33871,393,100,0,0,0,0,0,0,55,0,0,7
90,1740,6.42105,366,100,0,0,0,0,0,0,49,0,0,8
91,1624,6.2,372,100,0,0,0,0,0,0,56,0,0,4
92,1736,6.35,381,100,0,0,0,0,0,0,53,0,0,7
93,1092,6.21053,354,100,0,0,0,0,0,0,53,0,0,4
94,1184,6.31034,366,100,0,0,0,0,0,0,52,0,0,6
95,1312,6.35,381,100,0,0,0,0,0,0,53,0,0,7
96,1244,6.32143,354,100,0,0,0,0,0,0,50,0,0,6
97,1388,6.41379,372,100,0,0,0,0,0,0,50,0,0,8
98,1724,6.42857,360,100,0,0,0,0,0,0,48,0,0,8
99,1656,6.47368,369,100,0,0,0,0,0,0,48,0,0,9
100,1544,6.36207,369,100,0,0,0,0,0,0,51,0,0,7
101,1496,6.2,372,100,0,0,0,0,0,0,56,0,0,4
102,1448,6.28125,402,100,0,0,0,0,0,0,58,0,0,6
103,1544,6.45,387,100,0,0,0,0,0,0,51,0,0,9
104,1564,6.55,393,100,0,0,0,0,0,0,49,0,0,11
105,1560,6.61905,417,100,0,0,0,0,0,0,50,0,0,13
106,1420,6.41379,372,100,0,0,0,0,0,0,50,0,0,8
107,1380,6.50847,384,100,0,0,0,0,0,0,49,0,0,10
108,1720,6.40909,423,100,0,0,0,0,0,0,57,0,0,9
109,1752,6.38182,351,100,0,0,0,0,0,0,48,0,0,7
110,1988,6.44444,348,100,0,0,0,0,0,0,46,0,0,8
111,1856,6.50847,384,100,0,0,0,0,0,0,49,0,0,10
112,2120,6.59016,402,100,0,0,0,0,0,0,49,0,0,12
113,1864,6.34615,330,100,0,0,0,0,0,0,46,0,0,6
114,2256,6.40678,378,100,0,0,0,0,0,0,51,0,0,8
115,2048,6.56897,381,100,0,0,0,0,0,0,47,0,0,11
116,1772,6.55932,387,100,0,0,0,0,0,0,48,0,0,11
117,1816,6.56897,381,100,0,0,0,0,0,0,47,0,0,11
118,2032,6.88889,372,100,0,0,0,0,0,0,38,0,0,16
119,1432,6.64286,372,100,0,0,0,0,0,0,44,0,0,12
120,1324,6.63158,378,100,0,0,0,0,0,0,45,0,0,12
121,1420,6.4918,396,100,0,0,0,0,0,0,51,0,0,10
122,1308,6.76271,399,100,0,0,0,0,0,0,44,0,0,15
123,1288,6.55932,387,100,0,0,0,0,0,0,48,0,0,11
124,1108,6.64286,372,100,0,0,0,0,0,0,44,0,0,12
125,1232,6.41379,372,100,0,0,0,0,0,0,50,0,0,8
126,1276,6.62069,384,100,0,0,0,0,0,0,46,0,0,12
127,1536,6.55932,387,100,0,0,0,0,0,0,48,0,0,11
128,1416,6.42623,392,100,0,0,0,0,0,0,52,0,1,8
129,1324,6.41379,372,100,0,0,0,0,0,0,50,0,0,8
130,1336,6.57895,375,100,0,0,0,0,0,0,46,0,0,11
131,1336,6.51724,378,100,0,0,0,0,0,0,48,0,0,10
132,1344,6.39344,390,100,0,0,0,0,0,0,53,0,0,8
133,1356,6.52632,372,100,0,0,0,0,0,0,47,0,0,10
134,1264,6.44262,393,100,0,0,0,0,0,0,52,0,0,9
135,1356,6.56897,381,100,0,0,0,0,0,0,47,0,0,11
136,1524,6.68852,408,100,0,0,0,0,0,0,47,0,0,14
137,1680,6.80952,429,100,0,0,0,0,0,0,46,0,0,17
138,1540,6.65,399,100,0,0,0,0,0,0,47,0,0,13
139,1800,6.75,378,100,0,0,0,0,0,0,42,0,0,14
140,1932,6.94444,375,100,0,0,0,0,0,0,37,0,0,17
141,1996,6.76364,372,100,0,0,0,0,0,0,41,0,0,14
142,1680,6.63462,345,100,0,0,0,0,0,0,41,0,0,11
143,1700,6.59016,402,100,0,0,0,0,0,0,49,0,0,12
144,1800,6.5625,420,100,0,0,0,0,0,0,52,0,0,12
145,1516,6.56897,381,100,0,0,0,0,0,0,47,0,0,11
146,1692,6.52632,372,100,0,0,0,0,0,0,47,0,0,10
147,1636,6.54098,399,100,0,0,0,0,0,0,50,0,0,11
148,1692,6.63158,378,100,0,0,0,0,0,0,45,0,0,12
149,1684,6.64615,432,100,0,0,0,0,0,0,51,0,0,14
150,1552,6.7377,411,100,0,0,0,0,0,0,46,0,0,15
151,1796,6.89062,441,100,0,0,0,0,0,0,45,0,0,19
152,1348,6.48214,363,100,0,0,0,0,0,0,47,0,0,9
153,1508,6.52632,372,100,0,0,0,0,0,0,47,0,0,10
154,1780,6.65,399,100,0,0,0,0,0,0,47,0,0,13
155,1504,6.63158,378,100,0,0,0,0,0,0,45,0,0,12
156,1532,6.64286,372,100,0,0,0,0,0,0,44,0,0,12
157,1488,6.75,378,100,0,0,0,0,0,0,42,0,0,14
158,1344,6.63462,345,100,0,0,0,0,0,0,41,0,0,11
159,1608,6.51724,378,100,0,0,0,0,0,0,48,0,0,10
160,1564,6.56897,381,100,0,0,0,0,0,0,47,0,0,11
161,1324,6.57895,375,100,0,0,0,0,0,0,46,0,0,11
162,1516,6.56897,381,100,0,0,0,0,0,0,47,0,0,11
163,1656,6.61017,390,100,0,0,0,0,0,0,47,0,0,12
164,1504,6.32143,354,100,0,0,0,0,0,0,50,0,0,6
165,1460,6.29508,384,100,0,0,0,0,0,0,55,0,0,6
166,1352,6.45,387,100,0,0,0,0,0,0,51,0,0,9
167,1600,6.47368,369,100,0,0,0,0,0,0,48,0,0,9
168,1544,6.4,384,100,0,0,0,0,0,0,52,0,0,8
169,1484,6.64286,372,100,0,0,0,0,0,0,44,0,0,12
170,1796,6.4918,396,100,0,0,0,0,0,0,51,0,0,10
171,1728,6.50847,384,100,0,0,0,0,0,0,49,0,0,10
172,1172,6.10909,336,100,0,0,0,0,0,0,53,0,0,2
173,1648,6.24194,387,100,0,0,0,0,0,0,57,0,0,5
174,1536,6.23529,318,100,0,0,0,0,0,0,47,0,0,4
175,1300,6.15789,351,100,0,0,0,0,0,0,54,0,0,3
176,964,6.10345,354,100,0,0,0,0,0,0,56,0,0,2
177,1072,6.14754,375,100,0,0,0,0,0,0,58,0,0,3
178,1056,6.15517,357,100,0,0,0,0,0,0,55,0,0,3
179,1168,6.21053,354,100,0,0,0,0,0,0,53,0,0,4
180,1408,6.10345,354,100,0,0,0,0,0,0,56,0,0,2
181,1436,6.10526,348,100,0,0,0,0,0,0,55,0,0,2
182,1664,6.14754,375,100,0,0,0,0,0,0,58,0,0,3
