update,points,mean_tasks,total_tasks,total_orgs,task_0,task_1,task_2,task_3,task_4,task_5,task_6,task_7,task_8,task_9
0,0,nan,0,10,0,0,0,0,0,0,0,0,0,0
1,76,6,30,11,0,0,0,0,0,0,5,0,0,0
2,108,6,42,11,0,0,0,0,0,0,7,0,0,0
3,120,6,48,12,0,0,0,0,0,0,8,0,0,0
4,132,6,54,16,0,0,0,0,0,0,9,0,0,0
5,132,6,66,19,0,0,0,0,0,0,11,0,0,0
6,140,6,72,21,0,0,0,0,0,0,12,0,0,0
7,192,6,90,26,0,0,0,0,0,0,15,0,0,0
8,256,6.15,123,30,0,0,0,0,0,0,19,0,0,1
9,268,6,126,33,0,0,0,0,0,0,21,0,0,0
10,304,6,144,37,0,0,0,0,0,0,24,0,0,0
11,388,6.12,153,41,0,0,0,0,0,0,24,0,0,1
12,444,6.09091,201,47,0,0,0,0,0,0,32,0,0,1
13,464,6.08571,213,53,0,0,0,0,0,0,34,0,0,1
14,536,6.16667,222,58,0,0,0,0,0,0,34,0,0,2
15,636,6.06977,261,65,0,0,0,0,0,0,42,0,0,1
16,592,6.11628,263,67,0,0,0,0,0,0,41,0,1,1
17,652,6.16667,296,69,0,0,0,0,0,0,45,0,1,2
18,656,6.06,303,70,0,0,0,0,0,0,49,0,0,1
19,780,6.11538,318,75,0,0,0,0,0,0,50,0,0,2
20,856,6.22642,330,82,0,0,0,0,0,0,49,0,0,4
21,936,6.22222,336,86,0,0,0,0,0,0,50,0,0,4
22,896,6.10714,342,89,0,0,0,0,0,0,54,0,0,2
23,832,6.10909,336,92,0,0,0,0,0,0,53,0,0,2
24,828,6.04918,369,94,0,0,0,0,0,0,60,0,0,1
25,776,6,348,95,0,0,0,0,0,0,58,0,0,0
26,808,6.09524,384,99,0,0,0,0,0,0,61,0,0,2
27,848,6.14062,393,99,0,0,0,0,0,0,61,0,0,3
28,904,6.13846,399,99,0,0,0,0,0,0,62,0,0,3
29,1040,6.1791,414,99,0,0,0,0,0,0,63,0,0,4
30,932,6.19048,390,99,0,0,0,0,0,0,59,0,0,4
31,856,6.15,369,100,0,0,0,0,0,0,57,0,0,3
32,1092,6.09091,402,100,0,0,0,0,0,0,64,0,0,2
33,1036,6.13636,405,100,0,0,0,0,0,0,63,0,0,3
34,796,6.15517,357,100,0,0,0,0,0,0,55,0,0,3
35,860,6.10169,360,100,0,0,0,0,0,0,57,0,0,2
36,884,6.05085,357,100,0,0,0,0,0,0,58,0,0,1
37,1008,6.1,366,100,0,0,0,0,0,0,58,0,0,2
38,1012,6.09836,372,100,0,0,0,0,0,0,59,0,0,2
39,1120,6.18462,402,100,0,0,0,0,0,0,61,0,0,4
40,968,6.16364,339,100,0,0,0,0,0,0,52,0,0,3
41,788,6.10345,354,100,0,0,0,0,0,0,56,0,0,2
42,1188,6.14062,393,100,0,0,0,0,0,0,61,0,0,3
