update,points,mean_tasks,total_tasks,total_orgs,task_0,task_1,task_2,task_3,task_4,task_5,task_6,task_7,task_8
0,0,nan,0,7,0,0,0,0,0,0,0,0,0
1,4,0,0,7,2,0,0,0,0,0,0,0,0
2,6,0,0,7,2,0,0,0,0,0,0,0,0
3,20,2.66667,8,8,2,0,0,0,0,0,0,0,1
4,26,0,0,8,4,0,0,0,0,0,0,0,0
5,30,0,0,8,5,0,0,0,0,0,0,0,0
6,44,1.6,8,9,4,0,0,0,0,0,0,0,1
7,48,0,0,9,6,0,0,0,0,0,0,0,0
8,50,0,0,9,6,0,0,0,0,0,0,0,0
9,62,1.33333,8,10,5,0,0,0,0,0,0,0,1
10,68,0,0,10,7,0,0,0,0,0,0,0,0
11,72,0,0,10,7,0,0,0,0,0,0,0,0
12,56,0,0,11,7,0,0,0,0,0,0,0,0
13,62,0,0,11,8,0,0,0,0,0,0,0,0
14,66,0,0,11,8,0,0,0,0,0,0,0,0
15,62,0,0,12,7,0,0,0,0,0,0,0,0
16,68,0,0,12,9,0,0,0,0,0,0,0,0
17,72,0,0,12,9,0,0,0,0,0,0,0,0
18,70,0.888889,8,12,8,0,0,0,0,0,0,0,1
19,76,0,0,12,9,0,0,0,0,0,0,0,0
20,78,0,0,12,9,0,0,0,0,0,0,0,0
21,78,0,0,12,9,0,0,0,0,0,0,0,0
22,78,0,0,12,9,0,0,0,0,0,0,0,0
23,66,0,0,13,9,0,0,0,0,0,0,0,0
24,72,0,0,13,10,0,0,0,0,0,0,0,0
25,80,0,0,13,10,0,0,0,0,0,0,0,0
26,92,0,0,13,9,0,0,0,0,0,0,0,0
27,98,0,0,13,10,0,0,0,0,0,0,0,0
28,102,0,0,13,10,0,0,0,0,0,0,0,0
29,110,0,0,13,10,0,0,0,0,0,0,0,0
30,112,0,0,13,10,0,0,0,0,0,0,0,0
31,112,0,0,13,10,0,0,0,0,0,0,0,0
32,114,0,0,13,10,0,0,0,0,0,0,0,0
33,120,0,0,13,10,0,0,0,0,0,0,0,0
34,104,0,0,14,10,0,0,0,0,0,0,0,0
35,114,0,0,14,11,0,0,0,0,0,0,0,0
36,122,0,0,14,11,0,0,0,0,0,0,0,0
37,134,0,0,14,11,0,0,0,0,0,0,0,0
38,134,0,0,14,11,0,0,0,0,0,0,0,0
39,120,0,0,15,11,0,0,0,0,0,0,0,0
40,126,0,0,15,12,0,0,0,0,0,0,0,0
41,134,0,0,15,13,0,0,0,0,0,0,0,0
42,138,0,0,15,13,0,0,0,0,0,0,0,0
43,140,0,0,15,13,0,0,0,0,0,0,0,0
44,144,0,0,15,13,0,0,0,0,0,0,0,0
45,112,0,0,17,13,0,0,0,0,0,0,0,0
46,126,0,0,17,15,0,0,0,0,0,0,0,0
47,138,0,0,17,15,0,0,0,0,0,0,0,0
48,154,0,0,17,14,0,0,0,0,0,0,0,0
49,164,0,0,17,15,0,0,0,0,0,0,0,0
50,136,0,0,17,14,0,0,0,0,0,0,0,0
51,140,0,0,17,14,0,0,0,0,0,0,0,0
52,146,0,0,17,15,0,0,0,0,0,0,0,0
53,134,0,0,17,15,0,0,0,0,0,0,0,0
54,100,0,0,17,14,0,0,0,0,0,0,0,0
55,110,0,0,17,15,0,0,0,0,0,0,0,0
56,74,0,0,18,14,0,0,0,0,0,0,0,0
57,88,0,0,18,16,0,0,0,0,0,0,0,0
58,104,0,0,19,16,0,0,0,0,0,0,0,0
