update,points,mean_tasks,total_tasks,total_orgs,task_0,task_1,task_2,task_3,task_4,task_5,task_6,task_7,task_8
0,0,nan,0,9,0,0,0,0,0,0,0,0,0
1,8,0,0,9,4,0,0,0,0,0,0,0,0
2,10,0,0,9,5,0,0,0,0,0,0,0,0
3,18,0,0,9,5,0,0,0,0,0,0,0,0
4,20,0,0,9,5,0,0,0,0,0,0,0,0
5,20,0,0,9,5,0,0,0,0,0,0,0,0
6,26,0,0,9,5,0,0,0,0,0,0,0,0
7,32,0,0,9,6,0,0,0,0,0,0,0,0
8,34,0,0,9,6,0,0,0,0,0,0,0,0
9,36,0,0,9,6,0,0,0,0,0,0,0,0
10,36,0,0,9,6,0,0,0,0,0,0,0,0
11,38,0,0,9,6,0,0,0,0,0,0,0,0
12,38,0,0,9,6,0,0,0,0,0,0,0,0
13,42,0,0,9,6,0,0,0,0,0,0,0,0
14,42,0,0,9,6,0,0,0,0,0,0,0,0
15,42,0,0,9,6,0,0,0,0,0,0,0,0
16,44,0,0,9,6,0,0,0,0,0,0,0,0
17,58,1.33333,8,10,5,0,0,0,0,0,0,0,1
18,62,1.14286,8,10,6,0,0,0,0,0,0,0,1
19,42,0,0,10,6,0,0,0,0,0,0,0,0
20,44,0,0,10,7,0,0,0,0,0,0,0,0
21,48,0,0,10,7,0,0,0,0,0,0,0,0
22,52,0,0,10,7,0,0,0,0,0,0,0,0
23,54,0,0,10,7,0,0,0,0,0,0,0,0
24,66,1.14286,8,11,6,0,0,0,0,0,0,0,1
25,70,1,8,11,7,0,0,0,0,0,0,0,1
26,64,1.14286,8,12,6,0,0,0,0,0,0,0,1
27,70,0.888889,8,12,8,0,0,0,0,0,0,0,1
28,76,0,0,12,9,0,0,0,0,0,0,0,0
29,78,0,0,12,9,0,0,0,0,0,0,0,0
30,80,0,0,12,9,0,0,0,0,0,0,0,0
31,82,0,0,12,9,0,0,0,0,0,0,0,0
32,94,0.888889,8,13,8,0,0,0,0,0,0,0,1
33,90,1.6,16,15,8,0,0,0,0,0,0,0,2
34,74,0.727273,8,16,10,0,0,0,0,0,0,0,1
35,78,0,0,16,12,0,0,0,0,0,0,0,0
36,84,0,0,16,12,0,0,0,0,0,0,0,0
37,92,0,0,16,12,0,0,0,0,0,0,0,0
38,96,0,0,16,12,0,0,0,0,0,0,0,0
39,110,0.666667,8,17,11,0,0,0,0,0,0,0,1
40,126,1.23077,16,18,11,0,0,0,0,0,0,0,2
41,126,1.14286,16,20,12,0,0,0,0,0,0,0,2
42,114,0.5,8,21,15,0,0,0,0,0,0,0,1
43,130,0.470588,8,21,16,0,0,0,0,0,0,0,1
44,138,0.444444,8,21,17,0,0,0,0,0,0,0,1
45,144,0,0,21,18,0,0,0,0,0,0,0,0
46,154,0.470588,8,21,16,0,0,0,0,0,0,0,1
47,130,0.941176,16,22,15,0,0,0,0,0,0,0,2
48,140,0.421053,8,22,18,0,0,0,0,0,0,0,1
49,148,0.444444,8,22,17,0,0,0,0,0,0,0,1
50,138,0.941176,16,22,15,0,0,0,0,0,0,0,2
51,130,0.444444,8,23,17,0,0,0,0,0,0,0,1
52,150,0.421053,8,24,18,0,0,0,0,0,0,0,1
53,166,0.380952,8,24,20,0,0,0,0,0,0,0,1
54,166,0.380952,8,26,20,0,0,0,0,0,0,0,1
55,148,0.363636,8,26,21,0,0,0,0,0,0,0,1
56,164,0.363636,8,26,21,0,0,0,0,0,0,0,1
57,204,1.45455,32,27,18,0,0,0,0,0,0,0,4
58,210,2,40,27,15,0,0,0,0,0,0,0,5
59,166,1.09091,24,28,19,0,0,0,0,0,0,0,3
60,198,0.64,16,29,23,0,0,0,0,0,0,0,2
61,186,0.64,16,29,23,0,0,0,0,0,0,0,2
62,198,0.96,24,30,22,0,0,0,0,0,0,0,3
63,210,0.888889,24,30,24,0,0,0,0,0,0,0,3
64,240,0.96,24,31,22,0,0,0,0,0,0,0,3
65,210,1.28,32,33,21,0,0,0,0,0,0,0,4
66,208,0.827586,24,33,26,0,0,0,0,0,0,0,3
67,220,0.266667,8,33,29,0,0,0,0,0,0,0,1
68,222,1.18519,32,34,23,0,0,0,0,0,0,0,4
69,232,1.10345,32,35,25,0,0,0,0,0,0,0,4
70,260,1.03226,32,36,27,0,0,0,0,0,0,0,4
71,242,0.774194,24,36,28,0,0,0,0,0,0,0,3
72,228,0.774194,24,37,28,0,0,0,0,0,0,0,3
73,242,0.484848,16,37,31,0,0,0,0,0,0,0,2
74,250,1.03226,32,37,27,0,0,0,0,0,0,0,4
75,252,1.06667,32,37,26,0,0,0,0,0,0,0,4
76,238,1.33333,40,37,25,0,0,0,0,0,0,0,5
77,268,0.705882,24,37,31,0,0,0,0,0,0,0,3
78,286,0.484848,16,37,31,0,0,0,0,0,0,0,2
79,266,0.75,24,37,29,0,0,0,0,0,0,0,3
80,268,0.75,24,39,29,0,0,0,0,0,0,0,3
81,308,1.5,48,40,26,0,0,0,0,0,0,0,6
82,300,1.37143,48,41,29,0,0,0,0,0,0,0,6
83,318,1.37143,48,41,29,0,0,0,0,0,0,0,6
84,336,1.51351,56,41,30,0,0,0,0,0,0,0,7
85,350,2.05714,72,42,26,0,0,0,0,0,0,0,9
86,432,3.29412,112,45,20,0,0,0,0,0,0,0,14
87,362,2.51429,88,45,24,0,0,0,0,0,0,0,11
88,370,1.72973,64,45,29,0,0,0,0,0,0,0,8
89,320,1.94595,72,45,28,0,0,0,0,0,0,0,9
90,408,2.05128,80,46,29,0,0,0,0,0,0,0,10
91,336,2.16216,80,48,27,0,0,0,0,0,0,0,10
92,366,2.59459,96,50,25,0,0,0,0,0,0,0,12
93,344,2.66667,104,52,26,0,0,0,0,0,0,0,13
94,402,1.90476,80,53,32,0,0,0,0,0,0,0,10
95,450,1.3913,64,53,38,0,0,0,0,0,0,0,8
96,468,1.19149,56,54,40,0,0,0,0,0,0,0,7
97,490,1.42222,64,54,37,0,0,0,0,0,0,0,8
98,412,0.909091,40,55,39,0,0,0,0,0,0,0,5
99,458,1.86047,80,57,33,0,0,0,0,0,0,0,10
100,446,1.46809,69,59,38,0,0,0,0,1,0,0,8
101,454,1.54,77,60,40,0,0,0,0,1,0,0,9
102,484,1.77083,85,61,37,0,0,0,0,1,0,0,10
103,482,2.13725,109,63,37,0,0,0,0,1,0,0,13
104,456,1.72549,88,63,40,0,0,0,0,0,0,0,11
105,458,1.79592,88,65,38,0,0,0,0,0,0,0,11
