update,points,mean_tasks,total_tasks,total_orgs,task_0,task_1,task_2,task_3,task_4,task_5,task_6,task_7,task_8
0,0,nan,0,9,0,0,0,0,0,0,0,0,0
1,2,0,0,9,1,0,0,0,0,0,0,0,0
2,6,0,0,9,3,0,0,0,0,0,0,0,0
3,10,0,0,9,5,0,0,0,0,0,0,0,0
4,12,0,0,9,6,0,0,0,0,0,0,0,0
5,16,0,0,9,6,0,0,0,0,0,0,0,0
6,18,0,0,9,6,0,0,0,0,0,0,0,0
7,20,0,0,9,6,0,0,0,0,0,0,0,0
8,18,1.33333,8,9,5,0,0,0,0,0,0,0,1
9,20,1.33333,8,9,5,0,0,0,0,0,0,0,1
10,22,1.33333,8,9,5,0,0,0,0,0,0,0,1
11,22,1.33333,8,9,5,0,0,0,0,0,0,0,1
12,26,0,0,9,6,0,0,0,0,0,0,0,0
13,28,0,0,9,6,0,0,0,0,0,0,0,0
14,30,0,0,9,6,0,0,0,0,0,0,0,0
15,30,0,0,9,6,0,0,0,0,0,0,0,0
16,32,0,0,9,6,0,0,0,0,0,0,0,0
17,12,0,0,9,5,0,0,0,0,0,0,0,0
18,12,0,0,9,5,0,0,0,0,0,0,0,0
19,26,1.33333,8,10,5,0,0,0,0,0,0,0,1
20,30,0,0,10,6,0,0,0,0,0,0,0,0
21,34,0,0,10,7,0,0,0,0,0,0,0,0
22,48,1,8,11,7,0,0,0,0,0,0,0,1
23,52,1,8,11,7,0,0,0,0,0,0,0,1
24,56,1,8,11,7,0,0,0,0,0,0,0,1
25,56,1,8,11,7,0,0,0,0,0,0,0,1
26,40,1,8,12,7,0,0,0,0,0,0,0,1
27,44,1,8,12,7,0,0,0,0,0,0,0,1
28,54,2,16,12,6,0,0,0,0,0,0,0,2
29,54,2,16,12,6,0,0,0,0,0,0,0,2
30,68,2.66667,24,13,6,0,0,0,0,0,0,0,3
31,50,2.66667,24,14,6,0,0,0,0,0,0,0,3
32,52,2.4,24,14,7,0,0,0,0,0,0,0,3
33,62,3.2,32,14,6,0,0,0,0,0,0,0,4
34,34,2.4,24,14,7,0,0,0,0,0,0,0,3
35,32,3.2,32,14,6,0,0,0,0,0,0,0,4
36,48,3.63636,40,15,6,0,0,0,0,0,0,0,5
37,50,3.2,32,15,6,0,0,0,0,0,0,0,4
38,64,3.63636,40,15,6,0,0,0,0,0,0,0,5
39,64,3.63636,40,15,6,0,0,0,0,0,0,0,5
40,62,3.63636,40,15,6,0,0,0,0,0,0,0,5
41,68,3.33333,40,15,7,0,0,0,0,0,0,0,5
42,80,3.63636,40,15,6,0,0,0,0,0,0,0,5
43,88,2.66667,32,15,8,0,0,0,0,0,0,0,4
44,88,3.63636,40,15,6,0,0,0,0,0,0,0,5
45,94,3.33333,40,15,7,0,0,0,0,0,0,0,5
46,106,4,48,16,6,0,0,0,0,0,0,0,6
47,92,3.69231,48,17,7,0,0,0,0,0,0,0,6
48,112,3.42857,48,18,8,0,0,0,0,0,0,0,6
49,84,3.07692,40,18,8,0,0,0,0,0,0,0,5
50,108,2.66667,40,19,10,0,0,0,0,0,0,0,5
51,120,2.66667,40,19,10,0,0,0,0,0,0,0,5
52,118,2.5,40,20,11,0,0,0,0,0,0,0,5
53,132,2,32,20,12,0,0,0,0,0,0,0,4
54,116,2.66667,40,21,10,0,0,0,0,0,0,0,5
55,134,2.66667,48,21,12,0,0,0,0,0,0,0,6
56,170,3.76471,64,23,9,0,0,0,0,0,0,0,8
57,200,2.4,48,23,14,0,0,0,0,0,0,0,6
58,164,2.35294,40,25,12,0,0,0,0,0,0,0,5
59,190,1.90476,40,25,16,0,0,0,0,0,0,0,5
60,206,3.6,72,28,11,0,0,0,0,0,0,0,9
61,264,2.56,64,30,17,0,0,0,0,0,0,0,8
62,198,2.43478,56,34,16,0,0,0,0,0,0,0,7
63,270,1.54839,48,36,25,0,0,0,0,0,0,0,6
64,362,3.31034,96,41,17,0,0,0,0,0,0,0,12
65,364,2.42424,80,42,23,0,0,0,0,0,0,0,10
66,334,3.15152,104,47,20,0,0,0,0,0,0,0,13
67,408,2.87179,112,48,25,0,0,0,0,0,0,0,14
68,470,3.61538,141,55,21,0,0,0,0,1,0,0,17
69,504,2.6087,120,55,31,0,0,0,0,0,0,0,15
70,494,2.97674,128,58,27,0,0,0,0,0,0,0,16
71,546,2.48936,117,59,32,0,0,0,0,1,0,0,14
72,598,2.61224,128,62,33,0,0,0,0,0,0,0,16
73,524,2.7234,128,62,31,0,0,0,0,0,0,0,16
74,546,2.55319,120,63,32,0,0,0,0,0,0,0,15
75,554,3.04,152,66,31,0,0,0,0,0,0,0,19
76,632,2.62069,152,70,39,0,0,0,0,0,0,0,19
77,702,3.22807,184,75,34,0,0,0,0,0,0,0,23
78,694,2.83871,176,78,40,0,0,0,0,0,0,0,22
79,774,3.25,208,84,38,0,0,0,0,0,0,0,26
80,824,3.15493,224,90,43,0,0,0,0,0,0,0,28
81,916,3.2,240,93,45,0,0,0,0,0,0,0,30
82,984,3.17949,248,94,47,0,0,0,0,0,0,0,31
83,1084,2.76923,216,95,51,0,0,0,0,0,0,0,27
84,1018,2.66667,208,98,52,0,0,0,0,0,0,0,26
85,1172,2.50602,208,99,57,0,0,0,0,0,0,0,26
86,1154,2.37037,192,99,57,0,0,0,0,0,0,0,24
87,1152,2.73684,208,99,50,0,0,0,0,0,0,0,26
88,1316,2.63291,208,99,53,0,0,0,0,0,0,0,26
89,1134,2.7,216,99,53,0,0,0,0,0,0,0,27
90,1060,2.32911,184,99,56,0,0,0,0,0,0,0,23
91,1148,2.22785,176,100,57,0,0,0,0,0,0,0,22
92,1316,2.17284,176,100,59,0,0,0,0,0,0,0,22
93,1378,1.97647,168,100,64,0,0,0,0,0,0,0,21
94,1196,2.07407,168,100,60,0,0,0,0,0,0,0,21
95,1118,2.17284,176,100,59,0,0,0,0,0,0,0,22
96,1122,2.22785,176,100,57,0,0,0,0,0,0,0,22
97,1340,2.5,200,100,55,0,0,0,0,0,0,0,25
98,1452,2.46914,200,100,56,0,0,0,0,0,0,0,25
99,1404,2.37037,192,100,57,0,0,0,0,0,0,0,24
100,1320,2.7,216,100,53,0,0,0,0,0,0,0,27
101,1658,2.66667,216,100,54,0,0,0,0,0,0,0,27
102,1606,3.01299,232,100,48,0,0,0,0,0,0,0,29
103,1574,2.73684,208,100,50,0,0,0,0,0,0,0,26
104,1438,2.53165,200,100,54,0,0,0,0,0,0,0,25
105,1424,2.14286,165,100,56,0,0,0,0,1,0,0,20
106,1600,2.24,168,100,54,0,0,0,0,0,0,0,21
107,1592,2.27027,168,100,53,0,0,0,0,0,0,0,21
108,1826,2.4,192,100,56,0,0,0,0,0,0,0,24
109,1650,2.63415,216,100,55,0,0,0,0,0,0,0,27
110,1866,3.05263,232,100,47,0,0,0,0,0,0,0,29
111,1846,2.42105,184,100,53,0,0,0,0,0,0,0,23
112,2148,2.33333,168,100,51,0,0,0,0,0,0,0,21
113,2468,2.92958,208,100,45,0,0,0,0,0,0,0,26
114,1606,3.34328,224,100,39,0,0,0,0,0,0,0,28
115,1410,3.13514,232,100,45,0,0,0,0,0,0,0,29
116,1450,3.58209,240,100,37,0,0,0,0,0,0,0,30
117,1296,2.85714,200,100,45,0,0,0,0,0,0,0,25
118,1414,3.38028,240,100,41,0,0,0,0,0,0,0,30
119,1778,3.72603,272,100,39,0,0,0,0,0,0,0,34
120,1660,3.22222,232,100,43,0,0,0,0,0,0,0,29
121,1100,3.2027,237,100,44,0,0,0,0,1,0,0,29
122,1128,3.56757,264,100,41,0,0,0,0,0,0,0,33
123,1038,3.32468,256,100,45,0,0,0,0,0,0,0,32
124,1162,2.9589,216,100,46,0,0,0,0,0,0,0,27
125,1004,2.81081,208,100,48,0,0,0,0,0,0,0,26
126,1118,3.24324,240,100,44,0,0,0,0,0,0,0,30
127,980,3.22388,216,100,40,0,0,0,0,0,0,0,27
128,1086,3.75758,248,100,35,0,0,0,0,0,0,0,31
129,1158,3.875,248,100,33,0,0,0,0,0,0,0,31
130,1348,3.22222,232,100,43,0,0,0,0,0,0,0,29
131,1168,3.54286,248,100,39,0,0,0,0,0,0,0,31
132,1388,4,272,100,34,0,0,0,0,0,0,0,34
133,1448,3.69231,240,100,35,0,0,0,0,0,0,0,30
134,1462,3.69231,240,100,35,0,0,0,0,0,0,0,30
135,1374,3.93443,240,100,31,0,0,0,0,0,0,0,30
136,1172,3.92982,224,100,29,0,0,0,0,0,0,0,28
137,842,3.74194,232,100,33,0,0,0,0,0,0,0,29
138,960,3.17647,216,100,41,0,0,0,0,0,0,0,27
139,1092,3.01449,208,100,43,0,0,0,0,0,0,0,26
140,992,2.25352,160,100,51,0,0,0,0,0,0,0,20
141,1012,2.30137,168,100,52,0,0,0,0,0,0,0,21
142,1014,2.98507,200,100,42,0,0,0,0,0,0,0,25
143,1124,3.22388,216,100,40,0,0,0,0,0,0,0,27
144,958,3.25,208,100,38,0,0,0,0,0,0,0,26
145,950,3,216,100,45,0,0,0,0,0,0,0,27
146,960,3.24638,224,100,41,0,0,0,0,0,0,0,28
147,1042,3.38028,240,100,41,0,0,0,0,0,0,0,30
148,1062,3.50685,256,100,41,0,0,0,0,0,0,0,32
149,1062,3.05263,232,100,47,0,0,0,0,0,0,0,29
150,1076,3.22222,232,100,43,0,0,0,0,0,0,0,29
151,904,3.88571,272,100,36,0,0,0,0,0,0,0,34
152,1108,3.15789,240,100,46,0,0,0,0,0,0,0,30
153,1114,3.22222,232,100,43,0,0,0,0,0,0,0,29
154,1178,3.70149,248,100,36,0,0,0,0,0,0,0,31
155,1060,3.46269,232,100,38,0,0,0,0,0,0,0,29
156,890,3.93443,240,100,31,0,0,0,0,0,0,0,30
157,944,4.06349,256,100,31,0,0,0,0,0,0,0,32
158,1238,3.78378,280,100,39,0,0,0,0,0,0,0,35
159,1016,3.36232,232,100,40,0,0,0,0,0,0,0,29
160,1124,3.51515,232,100,37,0,0,0,0,0,0,0,29
161,1028,3.17647,216,100,41,0,0,0,0,0,0,0,27
162,1272,3.61644,264,100,40,0,0,0,0,0,0,0,33
163,1232,3,216,100,45,0,0,0,0,0,0,0,27
164,1272,2.73973,200,100,48,0,0,0,0,0,0,0,25
165,1222,3.34328,224,100,39,0,0,0,0,0,0,0,28
166,1220,3.38028,240,100,41,0,0,0,0,0,0,0,30
167,1404,3.17808,232,100,44,0,0,0,0,0,0,0,29
168,1278,2.66667,192,100,48,0,0,0,0,0,0,0,24
169,1200,3.13043,216,100,42,0,0,0,0,0,0,0,27
170,1292,3.49296,248,100,40,0,0,0,0,0,0,0,31
171,1182,4.35294,296,100,31,0,0,0,0,0,0,0,37
172,1198,3.64706,248,100,37,0,0,0,0,0,0,0,31
173,1246,4.18462,272,100,31,0,0,0,0,0,0,0,34
174,1068,3.75758,248,100,35,0,0,0,0,0,0,0,31
175,1132,4.25,272,100,30,0,0,0,0,0,0,0,34
176,1176,4.65672,312,100,28,0,0,0,0,0,0,0,39
177,1120,4.11765,280,100,33,0,0,0,0,0,0,0,35
178,930,3.39394,224,100,38,0,0,0,0,0,0,0,28
179,1010,3.52941,240,100,38,0,0,0,0,0,0,0,30
180,1056,3.41176,232,100,39,0,0,0,0,0,0,0,29
181,1082,3.08571,216,100,43,0,0,0,0,0,0,0,27
182,1096,3.36232,232,100,40,0,0,0,0,0,0,0,29
183,1156,3.54286,248,100,39,0,0,0,0,0,0,0,31
184,1094,4,272,100,34,0,0,0,0,0,0,0,34
185,1006,4,264,100,33,0,0,0,0,0,0,0,33
186,1060,4.11111,296,100,35,0,0,0,0,0,0,0,37
187,1064,4,280,100,35,0,0,0,0,0,0,0,35
188,1174,3.77143,264,100,37,0,0,0,0,0,0,0,33
189,1192,3.38028,240,100,41,0,0,0,0,0,0,0,30
190,1188,4,296,100,37,0,0,0,0,0,0,0,37
191,1230,4.68571,328,100,29,0,0,0,0,0,0,0,41
192,1176,4.63768,320,100,29,0,0,0,0,0,0,0,40
193,1186,4.91429,344,100,27,0,0,0,0,0,0,0,43
194,1070,4.41791,296,100,30,0,0,0,0,0,0,0,37
195,1134,4.86957,336,100,27,0,0,0,0,0,0,0,42
196,1294,5.33333,368,100,23,0,0,0,0,0,0,0,46
197,1352,5.45455,360,100,21,0,0,0,0,0,0,0,45
198,1132,5.13433,344,100,24,0,0,0,0,0,0,0,43
199,1162,5.29231,344,100,22,0,0,0,0,0,0,0,43
200,1164,5.37705,328,100,20,0,0,0,0,0,0,0,41
201,1194,4.375,280,100,29,0,0,0,0,0,0,0,35
202,1236,4.5,288,100,28,0,0,0,0,0,0,0,36
203,1058,5.2459,320,100,21,0,0,0,0,0,0,0,40
204,1166,4.55556,328,100,31,0,0,0,0,0,0,0,41
