update,points,mean_tasks,total_tasks,total_orgs,task_0,task_1,task_2,task_3,task_4,task_5,task_6,task_7,task_8
0,0,nan,0,10,0,0,0,0,0,0,0,0,0
1,6,0,0,10,3,0,0,0,0,0,0,0,0
2,28,1,8,11,7,0,0,0,0,0,0,0,1
3,32,1,8,11,7,0,0,0,0,0,0,0,1
4,44,2.4,24,12,7,0,0,0,0,0,0,0,3
5,56,1.6,16,12,8,0,0,0,0,0,0,0,2
6,60,1.45455,16,12,9,0,0,0,0,0,0,0,2
7,72,2.66667,32,13,8,0,0,0,0,0,0,0,4
8,70,2.66667,32,15,8,0,0,0,0,0,0,0,4
9,84,3.07692,40,16,8,0,0,0,0,0,0,0,5
10,102,2.28571,32,17,10,0,0,0,0,0,0,0,4
11,106,2.13333,32,17,11,0,0,0,0,0,0,0,4
12,136,2.66667,40,19,10,0,0,0,0,0,0,0,5
13,140,2,32,19,12,0,0,0,0,0,0,0,4
14,170,3,48,21,10,0,0,0,0,0,0,0,6
15,158,2.64706,45,22,11,0,0,0,0,1,0,0,5
16,190,2.78947,53,24,12,0,0,0,0,1,0,0,6
17,230,3.85,77,27,10,0,0,0,0,1,0,0,9
18,192,4.05263,77,27,9,0,0,0,0,1,0,0,9
19,230,3.69565,85,31,12,0,0,0,0,1,0,0,10
20,206,3.27273,72,32,13,0,0,0,0,0,0,0,9
21,196,2.15385,56,33,19,0,0,0,0,0,0,0,7
22,254,2.46154,64,34,18,0,0,0,0,0,0,0,8
23,258,2.15385,56,36,19,0,0,0,0,0,0,0,7
24,304,2.88,72,38,16,0,0,0,0,0,0,0,9
25,294,2.46154,64,40,18,0,0,0,0,0,0,0,8
26,310,3.25926,88,42,16,0,0,0,0,0,0,0,11
27,302,3.71429,104,43,15,0,0,0,0,0,0,0,13
28,384,4.5,144,45,14,0,0,0,0,0,0,0,18
29,438,3.87879,128,46,17,0,0,0,0,0,0,0,16
30,460,3.2,112,51,21,0,0,0,0,0,0,0,14
31,524,3.67568,136,54,20,0,0,0,0,0,0,0,17
32,612,3.31707,136,57,24,0,0,0,0,0,0,0,17
33,624,3.2381,136,59,25,0,0,0,0,0,0,0,17
34,650,2.4186,104,60,30,0,0,0,0,0,0,0,13
35,570,3.31707,136,61,24,0,0,0,0,0,0,0,17
36,570,2.6087,120,64,31,0,0,0,0,0,0,0,15
37,622,2.95652,136,65,29,0,0,0,0,0,0,0,17
38,486,3.2,144,66,27,0,0,0,0,0,0,0,18
39,674,4,200,71,25,0,0,0,0,0,0,0,25
40,654,3.91489,184,74,24,0,0,0,0,0,0,0,23
41,702,4,192,76,24,0,0,0,0,0,0,0,24
42,576,3.60784,184,78,28,0,0,0,0,0,0,0,23
43,708,3.63636,200,78,30,0,0,0,0,0,0,0,25
44,636,3.69231,192,79,28,0,0,0,0,0,0,0,24
45,700,3.62264,192,81,29,0,0,0,0,0,0,0,24
46,584,3.25424,192,82,35,0,0,0,0,0,0,0,24
47,656,3.79661,224,85,31,0,0,0,0,0,0,0,28
48,686,3.6129,224,87,34,0,0,0,0,0,0,0,28
49,774,3.38983,200,89,34,0,0,0,0,0,0,0,25
50,724,3.36842,192,92,33,0,0,0,0,0,0,0,24
51,762,4,248,93,31,0,0,0,0,0,0,0,31
52,678,4.4,264,94,27,0,0,0,0,0,0,0,33
53,696,4.64516,288,94,26,0,0,0,0,0,0,0,36
54,728,4.625,296,96,27,0,0,0,0,0,0,0,37
55,842,5.29032,328,96,21,0,0,0,0,0,0,0,41
