update,points,mean_tasks,total_tasks,total_orgs,task_0,task_1,task_2,task_3,task_4,task_5,task_6,task_7,task_8
0,0,nan,0,10,0,0,0,0,0,0,0,0,0
1,28,6,12,11,0,0,0,0,0,0,2,0,0
2,88,6,36,12,0,0,0,0,0,0,6,0,0
3,128,6,54,14,0,0,0,0,0,0,9,0,0
4,140,6,60,15,0,0,0,0,0,0,10,0,0
5,124,6,60,19,0,0,0,0,0,0,10,0,0
6,128,6,66,21,0,0,0,0,0,0,11,0,0
7,156,6.14286,86,22,0,0,0,0,0,0,13,0,1
8,192,6.11765,104,25,0,0,0,0,0,0,16,0,1
9,224,6.1,122,29,0,0,0,0,0,0,19,0,1
10,264,6.09091,134,35,0,0,0,0,0,0,21,0,1
11,312,6.08333,146,40,0,0,0,0,0,0,23,0,1
12,440,6.06667,182,45,0,0,0,0,0,0,29,0,1
13,588,6.05882,206,47,0,0,0,0,0,0,33,0,1
14,544,6.2,186,50,0,0,0,0,0,0,27,0,3
15,720,6.11429,214,55,0,0,0,0,0,0,33,0,2
16,816,6.10526,232,60,0,0,0,0,0,0,36,0,2
17,864,6.1,244,67,0,0,0,0,0,0,38,0,2
18,848,6.09524,256,73,0,0,0,0,0,0,40,0,2
19,1024,6.08889,274,78,0,0,0,0,0,0,43,0,2
20,1144,6.08163,298,83,0,0,0,0,0,0,47,0,2
21,1052,6.08,304,86,0,0,0,0,0,0,48,0,2
22,1140,6.03846,314,88,0,0,0,0,0,0,51,0,1
23,1444,6,336,93,0,0,0,0,0,0,56,0,0
24,1364,6.07273,334,94,0,0,0,0,0,0,53,0,2
25,1428,6.07018,346,96,0,0,0,0,0,0,55,0,2
26,1576,6.06897,352,97,0,0,0,0,0,0,56,0,2
27,1680,6,330,97,0,0,0,0,0,0,55,0,0
28,1764,6.03448,350,98,0,0,0,0,0,0,57,0,1
29,1740,6.06897,352,98,0,0,0,0,0,0,56,0,2
30,1904,6.07273,334,99,0,0,0,0,0,0,53,0,2
31,1768,6.07273,334,100,0,0,0,0,0,0,53,0,2
32,1664,6,306,100,0,0,0,0,0,0,51,0,0
33,1640,6,360,100,0,0,0,0,0,0,60,0,0
34,1632,6,354,100,0,0,0,0,0,0,59,0,0
35,1460,6,366,100,0,0,0,0,0,0,61,0,0
36,1760,6,360,100,0,0,0,0,0,0,60,0,0
37,1744,6,360,100,0,0,0,0,0,0,60,0,0
38,1988,6,342,100,0,0,0,0,0,0,57,0,0
39,1868,6,372,100,0,0,0,0,0,0,62,0,0
40,1704,6,306,100,0,0,0,0,0,0,51,0,0
41,1932,6,342,100,0,0,0,0,0,0,57,0,0
42,1340,6.03571,338,100,0,0,0,0,0,0,55,0,1
43,1532,6.03279,368,100,0,0,0,0,0,0,60,0,1
44,1468,6,372,100,0,0,0,0,0,0,62,0,0
45,1216,6,372,100,0,0,0,0,0,0,62,0,0
46,1448,6.03175,380,100,0,0,0,0,0,0,62,0,1
47,1260,6,360,100,0,0,0,0,0,0,60,0,0
48,1352,6,354,100,0,0,0,0,0,0,59,0,0
49,1436,6,366,100,0,0,0,0,0,0,61,0,0
50,1344,6.03704,326,100,0,0,0,0,0,0,53,0,1
51,1292,6.07273,334,100,0,0,0,0,0,0,53,0,2
