update,points,mean_tasks,total_tasks,total_orgs,task_0,task_1,task_2,task_3,task_4,task_5,task_6,task_7,task_8,task_9
0,0,nan,0,10,0,0,0,0,0,0,0,0,0,0
1,0,nan,0,10,0,0,0,0,0,0,0,0,0,0
2,0,nan,0,10,0,0,0,0,0,0,0,0,0,0
3,44,9,9,11,0,0,0,0,0,0,0,0,0,1
4,24,9,9,12,0,0,0,0,0,0,0,0,0,1
5,4,9,9,13,0,0,0,0,0,0,0,0,0,1
6,4,9,9,13,0,0,0,0,0,0,0,0,0,1
7,48,9,18,14,0,0,0,0,0,0,0,0,0,2
8,72,9,27,16,0,0,0,0,0,0,0,0,0,3
9,32,9,27,17,0,0,0,0,0,0,0,0,0,3
10,52,9,27,18,0,0,0,0,0,0,0,0,0,3
11,76,9,36,18,0,0,0,0,0,0,0,0,0,4
12,36,9,36,19,0,0,0,0,0,0,0,0,0,4
13,60,9,45,20,0,0,0,0,0,0,0,0,0,5
14,168,9,63,22,0,0,0,0,0,0,0,0,0,7
15,128,9,63,23,0,0,0,0,0,0,0,0,0,7
16,124,9,72,24,0,0,0,0,0,0,0,0,0,8
17,152,9,81,26,0,0,0,0,0,0,0,0,0,9
18,268,9,108,31,0,0,0,0,0,0,0,0,0,12
19,328,9,99,32,0,0,0,0,0,0,0,0,0,11
20,380,9,126,37,0,0,0,0,0,0,0,0,0,14
21,296,9,144,42,0,0,0,0,0,0,0,0,0,16
22,348,9,171,48,0,0,0,0,0,0,0,0,0,19
23,684,9,225,53,0,0,0,0,0,0,0,0,0,25
24,380,9,207,55,0,0,0,0,0,0,0,0,0,23
25,448,9,225,59,0,0,0,0,0,0,0,0,0,25
26,860,9,279,61,0,0,0,0,0,0,0,0,0,31
27,836,9,279,67,0,0,0,0,0,0,0,0,0,31
28,840,9,279,70,0,0,0,0,0,0,0,0,0,31
29,1112,9,324,80,0,0,0,0,0,0,0,0,0,36
30,992,9,324,84,0,0,0,0,0,0,0,0,0,36
31,1148,9,360,89,0,0,0,0,0,0,0,0,0,40
32,1172,9,369,90,0,0,0,0,0,0,0,0,0,41
33,1060,9,351,92,0,0,0,0,0,0,0,0,0,39
34,1204,9,351,93,0,0,0,0,0,0,0,0,0,39
35,1180,9,414,96,0,0,0,0,0,0,0,0,0,46
36,1188,9,405,97,0,0,0,0,0,0,0,0,0,45
37,1352,9,414,98,0,0,0,0,0,0,0,0,0,46
38,1432,9,423,98,0,0,0,0,0,0,0,0,0,47
39,1460,9,450,98,0,0,0,0,0,0,0,0,0,50
40,1604,9,486,99,0,0,0,0,0,0,0,0,0,54
41,1464,9,450,99,0,0,0,0,0,0,0,0,0,50
42,1520,9,423,100,0,0,0,0,0,0,0,0,0,47
43,1356,9,414,100,0,0,0,0,0,0,0,0,0,46
44,1476,9,441,100,0,0,0,0,0,0,0,0,0,49
45,1040,9,396,100,0,0,0,0,0,0,0,0,0,44
46,1320,9,396,100,0,0,0,0,0,0,0,0,0,44
47,1448,9,423,100,0,0,0,0,0,0,0,0,0,47
48,1612,9,432,100,0,0,0,0,0,0,0,0,0,48
49,1588,9,450,100,0,0,0,0,0,0,0,0,0,50
50,1272,9,414,100,0,0,0,0,0,0,0,0,0,46
51,1528,9,423,100,0,0,0,0,0,0,0,0,0,47
52,1308,9,450,100,0,0,0,0,0,0,0,0,0,50
53,1316,9,459,100,0,0,0,0,0,0,0,0,0,51
54,1172,9,486,100,0,0,0,0,0,0,0,0,0,54
55,1200,9,504,100,0,0,0,0,0,0,0,0,0,56
56,1280,9,495,100,0,0,0,0,0,0,0,0,0,55
57,1004,9,432,100,0,0,0,0,0,0,0,0,0,48
58,1068,9,459,100,0,0,0,0,0,0,0,0,0,51
59,1116,9,432,100,0,0,0,0,0,0,0,0,0,48
60,1328,9,441,100,0,0,0,0,0,0,0,0,0,49
61,1360,9,450,100,0,0,0,0,0,0,0,0,0,50
62,1312,9,423,100,0,0,0,0,0,0,0,0,0,47
63,1036,9,387,100,0,0,0,0,0,0,0,0,0,43
64,1168,9,378,100,0,0,0,0,0,0,0,0,0,42
65,1216,9,423,100,0,0,0,0,0,0,0,0,0,47
66,1076,9,405,100,0,0,0,0,0,0,0,0,0,45
